"","word","zone","item"
"1","If",1,1
"2","you",2,1
"3","were",3,1
"4","to",4,1
"5","journey",5,1
"6","to",6,1
"7","the",7,1
"8","North",8,1
"9","of",9,1
"10","England,",10,1
"11","you",11,1
"12","would",12,1
"13","come",13,1
"14","to",14,1
"15","a",15,1
"16","valley",16,1
"17","that",17,1
"18","is",18,1
"19","surrounded",19,1
"20","by",20,1
"21","moors",21,1
"22","as",22,1
"23","high",23,1
"24","as",24,1
"25","mountains.",25,1
"26","It",26,1
"27","is",27,1
"28","in",28,1
"29","this",29,1
"30","valley",30,1
"31","where",31,1
"32","you",32,1
"33","would",33,1
"34","find",34,1
"35","the",35,1
"36","city",36,1
"37","of",37,1
"38","Bradford,",38,1
"39","where",39,1
"40","once",40,1
"41","a",41,1
"42","thousand",42,1
"43","spinning",43,1
"44","jennies",44,1
"45","that",45,1
"46","hummed",46,1
"47","and",47,1
"48","clattered",48,1
"49","spun",49,1
"50","wool",50,1
"51","into",51,1
"52","money",52,1
"53","for",53,1
"54","the",54,1
"55","long-bearded",55,1
"56","mill",56,1
"57","owners.",57,1
"58","That",58,1
"59","all",59,1
"60","mill",60,1
"61","owners",61,1
"62","were",62,1
"63","generally",63,1
"64","busy",64,1
"65","as",65,1
"66","beavers",66,1
"67","and",67,1
"68","quite",68,1
"69","pleased",69,1
"70","with",70,1
"71","themselves",71,1
"72","for",72,1
"73","being",73,1
"74","so",74,1
"75","successful",75,1
"76","and",76,1
"77","well",77,1
"78","off",78,1
"79","was",79,1
"80","known",80,1
"81","to",81,1
"82","the",82,1
"83","residents",83,1
"84","of",84,1
"85","Bradford,",85,1
"86","and",86,1
"87","if",87,1
"88","you",88,1
"89","were",89,1
"90","to",90,1
"91","go",91,1
"92","into",92,1
"93","the",93,1
"94","city",94,1
"95","to",95,1
"96","visit",96,1
"97","the",97,1
"98","stately",98,1
"99","City",99,1
"100","Hall,",100,1
"101","you",101,1
"102","would",102,1
"103","see",103,1
"104","there",104,1
"105","the",105,1
"106","Crest",106,1
"107","of",107,1
"108","the",108,1
"109","City",109,1
"110","of",110,1
"111","Bradford,",111,1
"112","which",112,1
"113","those",113,1
"114","same",114,1
"115","mill",115,1
"116","owners",116,1
"117","created",117,1
"118","to",118,1
"119","celebrate",119,1
"120","their",120,1
"121","achievements.",121,1
"122","It",122,1
"123","shows",123,1
"124","a",124,1
"125","sinister",125,1
"126","looking",126,1
"127","boar's",127,1
"128","head",128,1
"129","sitting",129,1
"130","on",130,1
"131","top",131,1
"132","of",132,1
"133","a",133,1
"134","well",134,1
"135","which",135,1
"136","seems",136,1
"137","puzzling",137,1
"138","at",138,1
"139","first,",139,1
"140","but",140,1
"141","the",141,1
"142","reason",142,1
"143","for",143,1
"144","this",144,1
"145","symbol",145,1
"146","is",146,1
"147","a",147,1
"148","matter",148,1
"149","of",149,1
"150","legend.",150,1
"151","There",151,1
"152","was",152,1
"153","once,",153,1
"154","legend",154,1
"155","has",155,1
"156","it,",156,1
"157","a",157,1
"158","fearsome",158,1
"159","boar,",159,1
"160","which",160,1
"161","lived",161,1
"162","in",162,1
"163","a",163,1
"164","wood",164,1
"165","located",165,1
"166","just",166,1
"167","outside",167,1
"168","the",168,1
"169","manor",169,1
"170","of",170,1
"171","Bradford.",171,1
"172","A",172,1
"173","source",173,1
"174","of",174,1
"175","great",175,1
"176","trouble",176,1
"177","to",177,1
"178","the",178,1
"179","local",179,1
"180","folk",180,1
"181","the",181,1
"182","boar",182,1
"183","was,",183,1
"184","bringing",184,1
"185","terror",185,1
"186","to",186,1
"187","the",187,1
"188","peaceful",188,1
"189","flocks",189,1
"190","and",190,1
"191","ravaging",191,1
"192","the",192,1
"193","countryside",193,1
"194","around.",194,1
"195","Even",195,1
"196","worse,",196,1
"197","however,",197,1
"198","the",198,1
"199","boar",199,1
"200","most",200,1
"201","liked",201,1
"202","to",202,1
"203","go",203,1
"204","to",204,1
"205","the",205,1
"206","well",206,1
"207","that",207,1
"208","was",208,1
"209","in",209,1
"210","the",210,1
"211","wood",211,1
"212","and",212,1
"213","drink",213,1
"214","its",214,1
"215","fresh",215,1
"216","water,",216,1
"217","so",217,1
"218","that",218,1
"219","the",219,1
"220","people",220,1
"221","of",221,1
"222","Bradford",222,1
"223","had",223,1
"224","second",224,1
"225","thoughts",225,1
"226","about",226,1
"227","visiting",227,1
"228","the",228,1
"229","well.",229,1
"230","That",230,1
"231","the",231,1
"232","people",232,1
"233","of",233,1
"234","Bradford",234,1
"235","bore",235,1
"236","the",236,1
"237","brunt",237,1
"238","of",238,1
"239","the",239,1
"240","beast's",240,1
"241","ferocity",241,1
"242","was",242,1
"243","unfair",243,1
"244","in",244,1
"245","the",245,1
"246","eyes",246,1
"247","of",247,1
"248","the",248,1
"249","people",249,1
"250","of",250,1
"251","the",251,1
"252","region.",252,1
"253","Eventually,",253,1
"254","the",254,1
"255","issue",255,1
"256","reached",256,1
"257","the",257,1
"258","ears",258,1
"259","of",259,1
"260","the",260,1
"261","kindly",261,1
"262","Lord",262,1
"263","of",263,1
"264","the",264,1
"265","Manor",265,1
"266","who",266,1
"267","the",267,1
"268","people",268,1
"269","had",269,1
"270","often",270,1
"271","asked",271,1
"272","for",272,1
"273","help.",273,1
"274","The",274,1
"275","Lord",275,1
"276","saw",276,1
"277","the",277,1
"278","severity",278,1
"279","of",279,1
"280","the",280,1
"281","problem",281,1
"282","the",282,1
"283","people",283,1
"284","faced",284,1
