corpus,model,training,corr
brown,on,xs,0.19
brown,on,sm,0.23
brown,on,md,0.25
brown,on,lg,0.26
brown,rnng,xs,0.19
brown,rnng,sm,0.21
brown,rnng,md,0.24
brown,rnng,lg,0.28
brown,lstm,xs,0.19
brown,lstm,sm,0.22
brown,lstm,md,0.23
brown,lstm,lg,0.28
natural,lstm,xs,0.19
natural,lstm,sm,0.22
natural,lstm,md,0.24
natural,lstm,lg,0.24
natural,on,xs,0.16
natural,on,sm,0.18
natural,on,md,0.18
natural,on,lg,0.18
natural,rnng,xs,0.14
natural,rnng,sm,0.16
natural,rnng,md,0.17
natural,rnng,lg,0.31
