sentence_id	token_id	token	surprisal
1	1	Buffeted	0.000000
1	2	by	2.431365
1	3	swirling	16.946125
1	4	winds	13.678914
1	5	,	5.020562
1	6	the	7.412404
1	7	little	13.585274
1	8	green	10.902229
1	9	biplane	17.980539
1	10	struggled	17.079134
1	11	northward	17.385351
1	12	between	10.434031
1	13	the	4.205752
1	14	mountains	11.859321
1	15	beyond	15.748693
1	16	Northfield	17.051655
1	17	Gulf	15.066214
1	18	.	3.260293
1	19	<eos>	0.046123
2	1	Wires	0.000000
2	2	whined	14.466739
2	3	as	9.191667
2	4	a	5.302721
2	5	cold	12.745727
2	6	November	18.058023
2	7	blast	14.603823
2	8	rocked	15.181635
2	9	the	4.717487
2	10	silver	11.872740
2	11	wings	12.083429
2	12	,	4.632252
2	13	but	7.714727
2	14	the	6.172343
2	15	engine	14.763579
2	16	roar	16.113451
2	17	was	7.750502
2	18	reassuring	14.936245
2	19	to	5.169767
2	20	the	4.975049
2	21	pilot	10.868157
2	22	bundled	17.875208
2	23	in	5.873414
2	24	the	4.432067
2	25	open	12.380610
2	26	cockpit	11.410429
2	27	.	2.088091
2	28	<eos>	0.033337
3	1	He	0.000000
3	2	peered	16.805033
3	3	ahead	10.258746
3	4	and	6.239824
3	5	grinned	17.303699
3	6	as	8.222314
3	7	the	6.029305
3	8	railroad	13.376431
3	9	tracks	14.412611
3	10	came	17.310680
3	11	into	6.333591
3	12	view	14.479899
3	13	again	13.530806
3	14	below	14.921916
3	15	.	8.084588
3	16	<eos>	0.096138
4	1	``	0.000000
4	2	Good	15.315925
4	3	old	16.687433
4	4	iron	16.147976
4	5	compass	17.285223
4	6	!	11.747634
4	7	''	0.226720
4	8	He	13.765675
4	9	thought	10.120161
4	10	.	10.485789
4	11	<eos>	0.115832
5	1	A	0.000000
5	2	plume	17.144388
5	3	of	2.238203
5	4	smoke	13.627421
5	5	rose	15.142783
5	6	from	6.759976
5	7	a	4.896525
5	8	Central	15.706463
5	9	Vermont	11.504237
5	10	locomotive	14.480282
5	11	which	14.118752
5	12	idled	13.288703
5	13	behind	12.885378
5	14	a	5.657844
5	15	string	11.282175
5	16	of	0.388447
5	17	gravel	14.763850
5	18	cars	11.289588
5	19	,	4.997330
5	20	and	6.082362
5	21	little	14.034858
5	22	figures	13.935573
5	23	that	7.780018
5	24	were	6.684816
5	25	workmen	18.340017
5	26	labored	17.016754
5	27	to	5.787520
5	28	set	12.203584
5	29	the	5.821155
