sentence_id	token_id	token	surprisal
1	1	Buffeted	0.000000
1	2	by	5.445168
1	3	swirling	18.068647
1	4	winds	13.384007
1	5	,	3.749081
1	6	the	3.015481
1	7	little	10.214646
1	8	green	10.092839
1	9	biplane	5.644993
1	10	struggled	16.305868
1	11	northward	20.272549
1	12	between	9.519373
1	13	the	1.211146
1	14	mountains	9.872090
1	15	beyond	13.714808
1	16	Northfield	18.574694
1	17	Gulf	13.344040
1	18	.	2.993757
1	19	<eos>	0.011992
2	1	Wires	0.000000
2	2	whined	11.272532
2	3	as	6.763346
2	4	a	2.012475
2	5	cold	11.954577
2	6	November	16.319847
2	7	blast	13.022221
2	8	rocked	17.998280
2	9	the	1.003466
2	10	silver	11.479124
2	11	wings	14.238305
2	12	,	3.446347
2	13	but	4.465996
2	14	the	2.748986
2	15	engine	12.598411
2	16	roar	18.841722
2	17	was	4.771518
2	18	reassuring	14.525297
2	19	to	4.625595
2	20	the	1.726411
2	21	pilot	10.950796
2	22	bundled	19.944984
2	23	in	1.302575
2	24	the	2.899916
2	25	open	10.467044
2	26	cockpit	12.249038
2	27	.	0.949237
2	28	<eos>	0.011351
3	1	He	0.000000
3	2	peered	18.225845
3	3	ahead	8.346534
3	4	and	3.774840
3	5	grinned	5.019673
3	6	as	7.202043
3	7	the	3.392325
3	8	railroad	13.347575
3	9	tracks	14.404219
3	10	came	12.913209
3	11	into	4.649401
3	12	view	11.354101
3	13	again	11.180162
3	14	below	14.574965
3	15	.	4.913365
3	16	<eos>	0.100826
4	1	``	0.000000
4	2	Good	11.011025
4	3	old	15.389853
4	4	iron	17.417950
4	5	compass	7.664211
4	6	!	10.696729
4	7	''	0.203638
4	8	He	11.902933
4	9	thought	9.908434
4	10	.	5.632813
4	11	<eos>	0.022347
5	1	A	0.000000
5	2	plume	17.090088
5	3	of	0.461017
5	4	smoke	10.804979
5	5	rose	13.255485
5	6	from	5.129033
5	7	a	2.369532
5	8	Central	15.798922
5	9	Vermont	11.425556
5	10	locomotive	17.808611
5	11	which	10.642108
5	12	idled	15.512500
5	13	behind	10.737022
5	14	a	3.536020
5	15	string	11.574352
5	16	of	0.040071
5	17	gravel	13.359461
5	18	cars	8.506362
5	19	,	3.372753
5	20	and	3.228522
5	21	little	11.017294
5	22	figures	14.398239
5	23	that	5.046947
5	24	were	4.223236
5	25	workmen	18.871372
5	26	labored	19.274242
5	27	to	3.309530
5	28	set	9.511580
5	29	the	3.908562
5	30	ruptured	17.569311
5	31	roadbed	9.189487
5	32	to	5.427251
5	33	rights	18.516081
5	34	.	1.126555
5	35	<eos>	0.015008
6	1	The	0.000000
6	2	girders	10.136507
6	3	of	3.546978
6	4	a	4.980162
6	5	shattered	16.539021
6	6	Dog	15.790638
6	7	River	7.240634
6	8	bridge	15.471206
6	9	lay	14.401134
6	10	strewn	18.193346
6	11	for	6.924304
6	12	half	9.512558
6	13	a	4.561267
6	14	mile	6.591492
6	15	downstream	20.059565
6	16	.	1.251591
6	17	<eos>	0.022644
7	1	Vermont	0.000000
7	2	's	2.923716
7	3	main	9.229297
7	4	railroad	10.524424
7	5	line	12.268310
7	6	was	7.841798
7	7	prostrate	18.609737
7	8	.	1.750573
7	9	<eos>	0.029820
8	1	And	0.000000
8	2	in	4.645923
8	3	the	1.846784
8	4	dark	11.576053
8	5	days	8.018855
8	6	after	7.234401
8	7	the	1.830078
8	8	Great	11.856952
8	9	Flood	16.075399
8	10	of	7.081633
8	11	1927	16.509676
8	12	--	5.457951
8	13	the	2.615417
8	14	worst	8.962010
8	15	natural	12.851591
8	16	disaster	6.828171
8	17	in	2.451959
8	18	the	1.202086
8	19	state	5.385389
8	20	's	5.145853
8	21	history	3.392041
8	22	--	0.876444
8	23	the	2.417713
8	24	little	11.112622
8	25	plane	13.692202
8	26	was	2.653335
8	27	its	10.693662
8	28	sole	9.766980
8	29	replacement	11.785016
8	30	in	3.550338
8	31	carrying	13.159472
8	32	the	2.228491
8	33	United	9.869209
8	34	States	0.666109
8	35	mails	20.198206
8	36	.	6.405897
8	37	<eos>	0.037748
9	1	Rain	0.000000
9	2	of	10.969347
9	3	near	19.682669
9	4	cloudburst	9.160640
9	5	proportions	16.037275
9	6	had	12.167570
9	7	fallen	8.829691
9	8	for	6.866051
9	9	three	6.148670
9	10	full	14.461374
9	11	days	3.165105
9	12	and	4.734753
9	13	it	7.110256
9	14	was	1.984515
9	15	still	6.551151
9	16	raining	8.710457
9	17	on	5.752869
9	18	the	1.460285
9	19	morning	9.747673
9	20	of	3.866985
9	21	Friday	9.137065
9	22	,	3.370040
9	23	November	12.892641
9	24	4	6.923758
9	25	,	1.104929
9	26	1927	18.588346
9	27	,	1.500692
9	28	when	3.677775
9	29	officials	11.322765
9	30	of	4.608289
9	31	the	1.057231
9	32	Post	10.752829
9	33	Office	8.432709
9	34	Department	12.731208
9	35	's	6.402903
9	36	Railway	15.473481
9	37	Mail	9.892417
9	38	Service	5.301851
9	39	realized	13.364810
9	40	that	1.098230
9	41	their	6.109144
9	42	distribution	12.782764
9	43	system	7.261120
9	44	for	6.937761
9	45	Vermont	15.562837
9	46	had	4.630721
9	47	been	1.467782
9	48	almost	10.192750
9	49	totally	8.346965
9	50	destroyed	9.841739
9	51	overnight	16.743923
9	52	.	0.472757
9	53	<eos>	0.019501
10	1	Clerks	0.000000
10	2	and	2.716150
10	3	postmasters	10.769490
10	4	shoveled	11.293598
10	5	muck	19.037605
10	6	out	8.931516
10	7	of	1.030714
10	8	their	4.166622
10	9	offices	9.010380
10	10	--	7.041751
10	11	those	9.380163
10	12	who	2.187917
10	13	still	8.043674
10	14	had	6.524746
10	15	offices	11.351704
10	16	--	5.453852
10	17	and	2.462028
10	18	wondered	14.251534
10	19	how	2.660693
10	20	to	2.018047
10	21	move	8.458534
10	22	the	4.355147
10	23	mail	12.106206
10	24	.	1.591721
10	25	<eos>	0.023896
11	1	The	0.000000
11	2	state	9.667237
11	3	's	2.102443
11	4	railroad	12.995014
11	5	system	5.918227
11	6	counted	16.590946
11	7	miles	15.210724
11	8	of	1.272165
11	9	broken	13.981715
11	10	bridges	10.964999
11	11	and	2.513240
11	12	missing	13.757066
11	13	rights-of-way	7.078986
11	14	:	14.137749
11	15	it	7.985388
11	16	would	5.112070
11	17	obviously	14.377663
11	18	remain	9.822486
11	19	out	7.816883
11	20	of	0.422449
11	21	commission	15.516367
11	22	for	4.771983
11	23	weeks	8.887840
11	24	.	0.949888
11	25	<eos>	0.020531
12	1	And	0.000000
12	2	once	10.143023
12	3	medicine	16.859133
12	4	,	4.248230
12	5	food	12.277909
12	6	,	4.300870
12	7	clothing	8.582916
12	8	and	1.000270
12	9	shelter	12.846710
12	10	had	7.162462
12	11	been	2.041104
12	12	provided	11.522933
12	13	for	3.488884
12	14	the	3.129688
12	15	flood	12.455933
12	16	's	10.348083
12	17	victims	12.946033
12	18	,	3.159529
12	19	communications	15.756382
12	20	and	1.560427
12	21	the	5.950706
12	22	mail	12.180817
12	23	were	9.131713
12	24	the	6.189249
12	25	next	9.402590
12	26	top	10.984505
12	27	problems	11.666026
12	28	.	1.245278
12	29	<eos>	0.031001
13	1	From	0.000000
13	2	Burlington	14.541268
13	3	,	1.662767
13	4	outgoing	19.672487
13	5	mail	15.348586
13	6	could	10.729711
13	7	be	1.796272
13	8	ferried	7.344698
13	9	across	10.052546
13	10	Lake	14.996177
13	11	Champlain	14.766304
13	12	to	4.709079
13	13	the	2.857087
13	14	railroad	10.568849
13	15	at	7.593853
13	16	Port	12.721130
13	17	Kent	15.179444
