sentence_id	token_id	token	surprisal
1	1	Buffeted	0.000000
1	2	by	7.160956
1	3	swirling	17.387875
1	4	winds	14.121016
1	5	,	3.639911
1	6	the	3.426259
1	7	little	10.723742
1	8	green	10.083642
1	9	biplane	4.999123
1	10	struggled	16.318430
1	11	northward	9.793861
1	12	between	9.335894
1	13	the	1.738805
1	14	mountains	10.830754
1	15	beyond	17.116085
1	16	Northfield	18.060564
1	17	Gulf	16.692558
1	18	.	3.876013
1	19	<eos>	0.022030
2	1	Wires	0.000000
2	2	whined	11.668751
2	3	as	6.788621
2	4	a	2.520221
2	5	cold	12.310019
2	6	November	16.147467
2	7	blast	16.401482
2	8	rocked	9.569259
2	9	the	4.540783
2	10	silver	11.666734
2	11	wings	15.999920
2	12	,	2.913601
2	13	but	3.720874
2	14	the	2.354137
2	15	engine	11.379943
2	16	roar	8.262442
2	17	was	2.855220
2	18	reassuring	14.436912
2	19	to	8.102493
2	20	the	1.061942
2	21	pilot	15.017952
2	22	bundled	10.062752
2	23	in	3.921299
2	24	the	1.291972
2	25	open	12.500049
2	26	cockpit	17.252569
2	27	.	0.778669
2	28	<eos>	0.010721
3	1	He	0.000000
3	2	peered	6.905174
3	3	ahead	11.777482
3	4	and	5.199426
3	5	grinned	4.811640
3	6	as	6.959696
3	7	the	3.097002
3	8	railroad	15.111044
3	9	tracks	14.031900
3	10	came	12.902851
3	11	into	4.350704
3	12	view	11.654635
3	13	again	10.646396
3	14	below	14.671469
3	15	.	6.273389
3	16	<eos>	0.057900
4	1	``	0.000000
4	2	Good	13.463292
4	3	old	12.329816
4	4	iron	17.227514
4	5	compass	6.731225
4	6	!	10.079023
4	7	''	0.177025
4	8	He	12.382879
4	9	thought	9.944392
4	10	.	5.939018
4	11	<eos>	0.046500
5	1	A	0.000000
5	2	plume	6.070797
5	3	of	3.218415
5	4	smoke	14.463323
5	5	rose	12.544109
5	6	from	3.967534
5	7	a	2.693160
5	8	Central	14.066777
5	9	Vermont	18.070013
5	10	locomotive	4.389776
5	11	which	10.063918
5	12	idled	17.210676
5	13	behind	10.366125
5	14	a	5.013517
5	15	string	13.056450
5	16	of	0.062871
5	17	gravel	15.613472
5	18	cars	11.527584
5	19	,	3.572114
5	20	and	3.195784
5	21	little	10.224068
5	22	figures	14.256867
5	23	that	5.155802
5	24	were	4.297420
5	25	workmen	18.522137
5	26	labored	18.417217
5	27	to	7.710228
5	28	set	10.527115
5	29	the	4.125044
5	30	ruptured	10.134159
5	31	roadbed	10.615528
5	32	to	8.251546
5	33	rights	16.362629
5	34	.	0.645521
5	35	<eos>	0.012209
6	1	The	0.000000
6	2	girders	8.695767
6	3	of	2.862124
6	4	a	4.774841
6	5	shattered	16.940538
6	6	Dog	11.632771
6	7	River	13.781482
6	8	bridge	17.507460
6	9	lay	16.170727
6	10	strewn	16.126879
6	11	for	9.243460
6	12	half	11.690516
6	13	a	3.776202
6	14	mile	5.981277
6	15	downstream	19.194937
6	16	.	0.972243
6	17	<eos>	0.158790
7	1	Vermont	0.000000
7	2	's	3.826138
7	3	main	8.031178
7	4	railroad	11.561352
7	5	line	12.037134
7	6	was	7.012711
7	7	prostrate	8.964665
7	8	.	1.800529
7	9	<eos>	0.048886
8	1	And	0.000000
8	2	in	5.193843
8	3	the	1.734409
8	4	dark	12.181259
8	5	days	12.045046
8	6	after	8.905324
8	7	the	1.594052
8	8	Great	10.999676
8	9	Flood	16.089411
8	10	of	6.041131
8	11	1927	10.879625
8	12	--	6.925463
8	13	the	2.479682
8	14	worst	10.665139
8	15	natural	12.164049
8	16	disaster	13.435453
8	17	in	3.922722
8	18	the	1.675439
8	19	state	7.321433
8	20	's	6.008337
8	21	history	3.682652
8	22	--	0.948735
8	23	the	3.095375
8	24	little	12.265108
8	25	plane	14.781068
8	26	was	4.104218
8	27	its	9.230226
8	28	sole	8.973821
8	29	replacement	13.950348
8	30	in	4.043162
8	31	carrying	17.006968
8	32	the	2.568945
8	33	United	10.185100
8	34	States	0.562726
8	35	mails	10.200934
8	36	.	1.482569
8	37	<eos>	0.036554
9	1	Rain	0.000000
9	2	of	5.084902
9	3	near	16.053354
9	4	cloudburst	7.714610
9	5	proportions	15.366036
9	6	had	17.950005
9	7	fallen	8.825934
9	8	for	6.881323
9	9	three	6.148696
9	10	full	17.209621
9	11	days	3.112087
9	12	and	5.026529
9	13	it	8.495492
9	14	was	2.643818
9	15	still	5.776110
9	16	raining	7.221916
9	17	on	5.316028
9	18	the	1.469747
9	19	morning	10.087262
9	20	of	3.611297
9	21	Friday	8.424158
9	22	,	3.850975
9	23	November	13.312820
9	24	4	7.749797
9	25	,	0.853330
9	26	1927	11.163495
9	27	,	1.820939
9	28	when	5.462825
9	29	officials	10.388928
9	30	of	6.641876
9	31	the	0.940295
9	32	Post	12.781038
9	33	Office	9.230725
9	34	Department	13.009583
9	35	's	5.373913
9	36	Railway	15.569664
9	37	Mail	12.575191
9	38	Service	10.973111
9	39	realized	13.488283
9	40	that	1.132899
9	41	their	6.835305
9	42	distribution	13.143855
9	43	system	9.373942
9	44	for	8.499257
9	45	Vermont	16.539654
9	46	had	5.527524
9	47	been	1.494323
9	48	almost	10.852871
9	49	totally	11.158641
9	50	destroyed	11.775393
9	51	overnight	20.765528
9	52	.	0.336511
9	53	<eos>	0.059212
10	1	Clerks	0.000000
10	2	and	4.195141
10	3	postmasters	7.278131
10	4	shoveled	9.936208
10	5	muck	17.586843
10	6	out	10.264668
10	7	of	0.386585
10	8	their	6.030290
10	9	offices	9.818048
10	10	--	6.810655
10	11	those	8.610068
10	12	who	2.477241
10	13	still	8.236526
10	14	had	7.108243
10	15	offices	12.616882
10	16	--	6.097853
10	17	and	3.067293
10	18	wondered	15.681609
10	19	how	1.446847
10	20	to	2.489259
10	21	move	10.785500
10	22	the	3.263687
10	23	mail	11.569896
10	24	.	1.105833
10	25	<eos>	0.005674
11	1	The	0.000000
11	2	state	8.488515
11	3	's	2.725684
11	4	railroad	13.554173
11	5	system	5.119043
11	6	counted	16.383530
11	7	miles	15.824815
11	8	of	5.632298
11	9	broken	16.067337
11	10	bridges	14.145737
11	11	and	1.943789
11	12	missing	17.330812
11	13	rights-of-way	5.517968
11	14	:	14.873518
11	15	it	9.356414
11	16	would	4.838624
11	17	obviously	14.085980
11	18	remain	10.813833
