sentence_id	token_id	token	surprisal
1	1	If	0.000000
1	2	you	6.969382
1	3	were	7.863673
1	4	to	7.706973
1	5	journey	15.842043
1	6	to	5.241218
1	7	the	4.597194
1	8	North	12.899069
1	9	of	10.531849
1	10	England	7.519287
1	11	,	2.710320
1	12	you	4.868724
1	13	would	4.409980
1	14	come	10.186344
1	15	to	3.718584
1	16	a	6.845551
1	17	valley	14.376239
1	18	that	6.887455
1	19	is	6.587126
1	20	surrounded	12.577619
1	21	by	1.334236
1	22	moors	17.434628
1	23	as	9.337378
1	24	high	10.893682
1	25	as	1.672917
1	26	mountains	15.254112
1	27	.	3.870049
1	28	<eos>	0.378133
2	1	It	0.000000
2	2	is	4.312369
2	3	in	9.294363
2	4	this	10.683467
2	5	valley	14.125247
2	6	where	7.454944
2	7	you	8.425364
2	8	would	9.128341
2	9	find	9.327214
2	10	the	6.186165
2	11	city	12.052361
2	12	of	7.629045
2	13	Bradford	17.860525
2	14	,	4.323437
2	15	where	7.706000
2	16	once	14.088499
2	17	a	6.672319
2	18	thousand	10.244346
2	19	spinning	17.894892
2	20	jennies	10.354767
2	21	that	11.321362
2	22	hummed	17.818571
2	23	and	9.718383
2	24	clattered	10.660628
2	25	spun	17.676168
2	26	wool	15.196556
2	27	into	7.613308
2	28	money	14.270584
2	29	for	8.036727
2	30	the	5.442486
2	31	long-bearded	10.404363
2	32	mill	11.279133
2	33	owners	16.917192
2	34	.	3.496217
2	35	<eos>	0.109124
3	1	That	0.000000
3	2	all	14.105844
3	3	mill	17.138443
3	4	owners	8.713550
3	5	were	7.416120
3	6	generally	13.831694
3	7	busy	10.247790
3	8	as	9.148456
3	9	beavers	17.734324
3	10	and	5.597083
3	11	quite	13.491239
3	12	pleased	11.482089
3	13	with	2.977266
3	14	themselves	9.602490
3	15	for	8.576541
3	16	being	12.241117
3	17	so	10.469953
3	18	successful	9.816250
3	19	and	6.576120
3	20	well	11.461927
3	21	off	11.119451
3	22	was	13.825465
3	23	known	12.945368
3	24	to	4.809089
3	25	the	7.653495
3	26	residents	14.002803
3	27	of	3.226128
3	28	Bradford	18.114056
3	29	,	4.579019
3	30	and	7.911213
3	31	if	11.328659
3	32	you	7.969154
3	33	were	5.578048
3	34	to	7.837520
3	35	go	8.254190
3	36	into	6.875130
3	37	the	5.273205
3	38	city	10.564302
3	39	to	7.552066
3	40	visit	13.965035
3	41	the	4.897571
3	42	stately	16.347515
3	43	City	11.642745
3	44	Hall	9.339474
3	45	,	4.217521
3	46	you	6.276577
3	47	would	4.608999
3	48	see	8.141516
3	49	there	10.466089
3	50	the	8.727480
3	51	Crest	18.555717
3	52	of	8.824677
3	53	the	4.916955
3	54	City	13.523360
3	55	of	5.759330
3	56	Bradford	16.651617
3	57	,	3.813843
3	58	which	8.262894
3	59	those	16.646921
3	60	same	15.054884
3	61	mill	16.824308
3	62	owners	10.916774
3	63	created	14.039040
3	64	to	6.648742
3	65	celebrate	10.228621
3	66	their	8.325262
3	67	achievements	13.878026
3	68	.	2.051149
3	69	<eos>	0.067446
4	1	It	0.000000
4	2	shows	9.171715
4	3	a	5.574796
4	4	sinister	15.489781
4	5	looking	17.644623
4	6	boar	18.154629
4	7	's	9.410099
4	8	head	12.918974
4	9	sitting	13.278032
4	10	on	4.111625
4	11	top	13.752601
4	12	of	3.277197
4	13	a	5.603715
4	14	well	16.292376
4	15	which	16.875107
4	16	seems	10.044572
4	17	puzzling	13.311086
4	18	at	7.322084
4	19	first	13.229513
4	20	,	4.840483
4	21	but	5.970614
