sentence_id	token_id	token	surprisal
1	1	If	0.000000
1	2	you	5.561329
1	3	were	7.017927
1	4	to	7.710008
1	5	journey	17.701397
1	6	to	5.701160
1	7	the	4.322953
1	8	North	10.777278
1	9	of	10.080510
1	10	England	8.154675
1	11	,	2.271492
1	12	you	4.664247
1	13	would	5.023639
1	14	come	6.324596
1	15	to	3.725763
1	16	a	6.050818
1	17	valley	14.678802
1	18	that	6.490119
1	19	is	6.128242
1	20	surrounded	12.517055
1	21	by	1.211971
1	22	moors	17.240908
1	23	as	9.434643
1	24	high	11.357250
1	25	as	1.232173
1	26	mountains	14.112855
1	27	.	3.622289
1	28	<eos>	0.269835
2	1	It	0.000000
2	2	is	4.456604
2	3	in	8.733810
2	4	this	9.984956
2	5	valley	14.471201
2	6	where	8.031471
2	7	you	7.723877
2	8	would	8.562106
2	9	find	8.506021
2	10	the	5.303966
2	11	city	10.954889
2	12	of	7.565074
2	13	Bradford	16.438419
2	14	,	3.802417
2	15	where	6.669292
2	16	once	10.545357
2	17	a	6.125851
2	18	thousand	13.275167
2	19	spinning	19.790289
2	20	jennies	8.240397
2	21	that	10.386996
2	22	hummed	12.236485
2	23	and	7.640391
2	24	clattered	8.135545
2	25	spun	16.046335
2	26	wool	15.588213
2	27	into	6.794448
2	28	money	13.028000
2	29	for	7.641997
2	30	the	5.138642
2	31	long-bearded	9.335876
2	32	mill	10.281801
2	33	owners	17.070303
2	34	.	4.551057
2	35	<eos>	0.097628
3	1	That	0.000000
3	2	all	13.733412
3	3	mill	17.076139
3	4	owners	10.707971
3	5	were	7.057247
3	6	generally	13.191156
3	7	busy	9.914497
3	8	as	8.535069
3	9	beavers	17.233881
3	10	and	6.085258
3	11	quite	11.964024
3	12	pleased	11.572701
3	13	with	3.155220
3	14	themselves	9.992007
3	15	for	8.380733
3	16	being	11.257787
3	17	so	11.180095
3	18	successful	6.831315
3	19	and	6.122354
3	20	well	11.738188
3	21	off	7.936036
3	22	was	14.171234
3	23	known	12.602406
3	24	to	4.441588
3	25	the	7.701768
3	26	residents	12.615189
3	27	of	3.119322
3	28	Bradford	16.249573
3	29	,	3.649960
3	30	and	6.368991
3	31	if	11.273678
3	32	you	7.408247
3	33	were	5.071251
3	34	to	7.619505
3	35	go	7.658901
3	36	into	5.908136
3	37	the	4.183339
3	38	city	9.607750
3	39	to	7.073353
3	40	visit	10.405473
3	41	the	3.870698
3	42	stately	17.034599
3	43	City	9.150043
3	44	Hall	10.295808
3	45	,	4.066791
3	46	you	6.405941
3	47	would	5.210909
3	48	see	7.503340
3	49	there	9.927535
3	50	the	8.359549
3	51	Crest	16.698345
3	52	of	9.234469
3	53	the	3.400737
3	54	City	10.983151
3	55	of	5.937196
3	56	Bradford	16.337793
3	57	,	3.224781
3	58	which	6.443637
3	59	those	16.265871
3	60	same	14.562581
3	61	mill	16.876308
3	62	owners	10.249267
3	63	created	10.194987
3	64	to	5.740690
3	65	celebrate	11.528383
3	66	their	7.135472
3	67	achievements	11.896481
3	68	.	1.686586
3	69	<eos>	0.058449
4	1	It	0.000000
4	2	shows	12.031157
4	3	a	5.229778
4	4	sinister	14.569600
4	5	looking	14.966791
4	6	boar	17.810566
4	7	's	9.767841
4	8	head	11.058680
4	9	sitting	13.352599
4	10	on	4.238812
4	11	top	13.232928
4	12	of	3.431589
4	13	a	5.168589
4	14	well	16.249720
4	15	which	15.879649
4	16	seems	10.632666
4	17	puzzling	14.660263
4	18	at	7.429862
4	19	first	11.692266
4	20	,	4.588431
4	21	but	5.591153
4	22	the	5.527693
4	23	reason	9.765140
4	24	for	4.166998
4	25	this	7.077943
4	26	symbol	12.861028
4	27	is	3.219964
4	28	a	6.307993
4	29	matter	8.815771
4	30	of	1.453534
4	31	legend	14.614117
4	32	.	2.164067
4	33	<eos>	0.071493
5	1	There	0.000000
5	2	was	4.146078
5	3	once	12.539054
5	4	,	9.017256
5	5	legend	16.930437
5	6	has	9.158410
5	7	it	11.370377
5	8	,	5.984559
5	9	a	7.747402
5	10	fearsome	16.222080
5	11	boar	17.676912
5	12	,	3.085189
5	13	which	7.182002
5	14	lived	11.621812
5	15	in	3.892808
5	16	a	5.617533
5	17	wood	12.799599
5	18	located	13.685183
5	19	just	10.734759
5	20	outside	8.048602
5	21	the	2.917957
5	22	manor	15.316705
5	23	of	5.416864
5	24	Bradford	16.898657
5	25	.	3.373817
5	26	<eos>	0.098759
6	1	A	0.000000
6	2	source	11.734280
6	3	of	3.198843
6	4	great	15.217817
6	5	trouble	8.652244
6	6	to	7.439728
6	7	the	7.062077
6	8	local	8.970041
6	9	folk	14.606194
6	10	the	13.457661
6	11	boar	17.716394
6	12	was	6.678405
6	13	,	8.699086
6	14	bringing	11.688559
6	15	terror	15.020638
6	16	to	4.188101
6	17	the	3.664122
6	18	peaceful	13.776046
6	19	flocks	16.721294
6	20	and	5.624492
6	21	ravaging	16.456709
6	22	the	3.528396
6	23	countryside	10.280805
6	24	around	7.856019
6	25	.	5.937421
6	26	<eos>	0.064485
7	1	Even	0.000000
7	2	worse	8.051066
7	3	,	3.031172
7	4	however	10.070456
7	5	,	0.196765
7	6	the	4.316930
7	7	boar	17.605694
7	8	most	15.356826
7	9	liked	12.438354
7	10	to	5.261931
7	11	go	8.260067
7	12	to	4.634546
7	13	the	4.136293
7	14	well	16.279222
7	15	that	9.890011
7	16	was	6.913169
7	17	in	8.089664
7	18	the	4.168760
7	19	wood	14.173830
7	20	and	6.310991
7	21	drink	10.756817
7	22	its	11.750726
7	23	fresh	12.340626
7	24	water	8.792846
7	25	,	5.094868
7	26	so	9.115175
7	27	that	6.332381
