sentence_id	token_id	token	surprisal
1	1	If	0.000000
1	2	you	4.211372
1	3	were	4.622477
1	4	to	4.488425
1	5	journey	18.806190
1	6	to	2.511336
1	7	the	1.480861
1	8	North	10.331928
1	9	of	7.407202
1	10	England	10.471898
1	11	,	1.107241
1	12	you	2.855981
1	13	would	3.173506
1	14	come	7.590353
1	15	to	2.042682
1	16	a	3.482185
1	17	valley	13.894226
1	18	that	3.955488
1	19	is	3.773784
1	20	surrounded	12.976985
1	21	by	0.166886
1	22	moors	19.160730
1	23	as	9.444906
1	24	high	11.146419
1	25	as	1.588441
1	26	mountains	13.786780
1	27	.	3.896055
1	28	<eos>	0.148332
2	1	It	0.000000
2	2	is	2.649518
2	3	in	6.918762
2	4	this	6.869207
2	5	valley	13.881460
2	6	where	5.846714
2	7	you	5.823762
2	8	would	7.006881
2	9	find	6.845139
2	10	the	3.277728
2	11	city	9.130688
2	12	of	4.645857
2	13	Bradford	16.473618
2	14	,	1.741879
2	15	where	5.599944
2	16	once	11.599616
2	17	a	4.680874
2	18	thousand	10.092888
2	19	spinning	18.361792
2	20	jennies	5.170336
2	21	that	8.392320
2	22	hummed	8.946639
2	23	and	5.881047
2	24	clattered	4.670270
2	25	spun	17.121326
2	26	wool	17.671356
2	27	into	4.878207
2	28	money	11.691287
2	29	for	4.817457
2	30	the	2.334146
2	31	long-bearded	6.094237
2	32	mill	11.186285
2	33	owners	15.691197
2	34	.	2.048035
2	35	<eos>	0.160615
3	1	That	0.000000
3	2	all	11.631151
3	3	mill	17.437725
3	4	owners	7.964795
3	5	were	4.988263
3	6	generally	11.260678
3	7	busy	10.502247
3	8	as	7.183980
3	9	beavers	10.238959
3	10	and	4.885581
3	11	quite	15.188367
3	12	pleased	13.475589
3	13	with	1.256401
3	14	themselves	10.907897
3	15	for	7.323166
3	16	being	8.643180
3	17	so	8.111277
3	18	successful	6.719294
3	19	and	5.438796
3	20	well	10.346899
3	21	off	7.889644
3	22	was	12.843111
3	23	known	9.618254
3	24	to	2.968836
3	25	the	5.924193
3	26	residents	12.913234
3	27	of	1.229157
3	28	Bradford	17.028296
3	29	,	2.250035
3	30	and	5.482823
3	31	if	8.895430
3	32	you	5.624894
3	33	were	2.603838
3	34	to	4.818493
3	35	go	5.227301
3	36	into	4.322440
3	37	the	2.030671
3	38	city	8.035431
3	39	to	5.131845
3	40	visit	10.803970
3	41	the	1.873402
3	42	stately	19.296169
3	43	City	14.133000
3	44	Hall	11.215148
3	45	,	1.550697
3	46	you	3.899390
3	47	would	2.856417
3	48	see	5.938705
3	49	there	8.133895
3	50	the	7.455678
3	51	Crest	18.075937
3	52	of	8.749126
3	53	the	2.341409
3	54	City	10.417396
3	55	of	3.195187
3	56	Bradford	16.378431
3	57	,	1.965590
3	58	which	5.139137
3	59	those	14.091386
3	60	same	12.283319
3	61	mill	17.892010
3	62	owners	8.223470
3	63	created	11.219195
3	64	to	4.023642
3	65	celebrate	11.285530
3	66	their	5.299167
3	67	achievements	12.032864
3	68	.	0.463347
3	69	<eos>	0.044550
4	1	It	0.000000
4	2	shows	9.796174
4	3	a	3.274601
4	4	sinister	16.100571
4	5	looking	14.886305
4	6	boar	10.693828
4	7	's	8.956827
4	8	head	11.232747
4	9	sitting	15.447047
4	10	on	1.901538
4	11	top	12.292919
4	12	of	1.396569
4	13	a	3.552205
4	14	well	13.924422
4	15	which	14.821912
4	16	seems	7.956874
4	17	puzzling	14.952668
4	18	at	6.644043
4	19	first	8.746499
4	20	,	2.884508
4	21	but	3.162749
4	22	the	3.488865
4	23	reason	9.218631
4	24	for	2.371418
4	25	this	4.727776
4	26	symbol	13.478762
4	27	is	1.612994
4	28	a	3.965967
4	29	matter	8.572277
4	30	of	0.465893
4	31	legend	14.612145
4	32	.	0.887660
4	33	<eos>	0.072670
5	1	There	0.000000
5	2	was	3.504379
5	3	once	14.155021
5	4	,	7.250315
5	5	legend	18.379473
5	6	has	11.886794
5	7	it	9.470895
5	8	,	3.924117
5	9	a	5.413300
5	10	fearsome	16.824549
5	11	boar	4.238547
5	12	,	3.096846
5	13	which	5.243104
5	14	lived	11.218662
5	15	in	1.536384
5	16	a	4.164928
5	17	wood	11.732006
5	18	located	14.183985
5	19	just	9.313393
5	20	outside	9.288085
5	21	the	0.843816
5	22	manor	18.911499
5	23	of	0.133439
5	24	Bradford	16.425488
5	25	.	2.250536
5	26	<eos>	0.147179
6	1	A	0.000000
6	2	source	10.290441
6	3	of	1.998803
6	4	great	13.004534
6	5	trouble	9.397215
6	6	to	5.367676
6	7	the	3.589147
6	8	local	9.093907
6	9	folk	14.291463
6	10	the	10.589342
6	11	boar	7.411744
6	12	was	7.447142
6	13	,	5.715074
6	14	bringing	13.238893
6	15	terror	15.527796
6	16	to	2.070752
6	17	the	1.955926
6	18	peaceful	14.423910
6	19	flocks	17.996086
6	20	and	4.815894
6	21	ravaging	17.624985
6	22	the	1.209434
6	23	countryside	9.485020
6	24	around	10.301643
6	25	.	4.806132
6	26	<eos>	0.019870
7	1	Even	0.000000
7	2	worse	8.889235
7	3	,	1.088115
7	4	however	6.849762
7	5	,	0.051166
7	6	the	1.969790
7	7	boar	9.437529
7	8	most	11.921148
7	9	liked	15.252591
7	10	to	4.059194
7	11	go	6.464682
7	12	to	2.853240
7	13	the	1.619559
7	14	well	14.614306
7	15	that	7.883038
7	16	was	4.378601
7	17	in	5.490519
7	18	the	1.790654
7	19	wood	14.623335
7	20	and	3.596141
7	21	drink	10.693813
7	22	its	11.226289
7	23	fresh	12.735529
7	24	water	6.999124
7	25	,	3.323927
7	26	so	6.755869
7	27	that	4.269004
7	28	the	2.358335
7	29	people	8.044751
7	30	of	4.515091
7	31	Bradford	17.687567
7	32	had	4.463334
7	33	second	15.147873
7	34	thoughts	5.996669
7	35	about	3.083943
7	36	visiting	15.576350
7	37	the	1.803663
7	38	well	14.787040
7	39	.	1.372511
7	40	<eos>	0.035745
8	1	That	0.000000
8	2	the	7.399119
8	3	people	9.112601
8	4	of	5.377452
8	5	Bradford	17.605167
8	6	bore	16.920225
8	7	the	1.908863
8	8	brunt	10.301636
8	9	of	0.121755
8	10	the	0.880427
8	11	beast	16.485952
8	12	's	3.833393
