sentence_id	token_id	token	surprisal
1	1	If	0.000000
1	2	you	4.137370
1	3	were	4.310847
1	4	to	4.898829
1	5	journey	19.607779
1	6	to	4.018482
1	7	the	1.461374
1	8	North	9.939531
1	9	of	8.023105
1	10	England	8.582259
1	11	,	1.242434
1	12	you	2.224224
1	13	would	3.130112
1	14	come	7.402879
1	15	to	1.748992
1	16	a	3.179145
1	17	valley	11.896882
1	18	that	2.714124
1	19	is	3.294376
1	20	surrounded	14.525052
1	21	by	0.421608
1	22	moors	7.208360
1	23	as	7.366050
1	24	high	9.558342
1	25	as	0.500032
1	26	mountains	13.665989
1	27	.	1.908967
1	28	<eos>	0.068953
2	1	It	0.000000
2	2	is	2.493337
2	3	in	5.813915
2	4	this	6.934881
2	5	valley	11.852181
2	6	where	7.414844
2	7	you	4.033099
2	8	would	7.170959
2	9	find	6.703327
2	10	the	3.154734
2	11	city	10.107805
2	12	of	3.964376
2	13	Bradford	6.833309
2	14	,	2.224542
2	15	where	4.579502
2	16	once	11.509254
2	17	a	5.598615
2	18	thousand	11.535284
2	19	spinning	16.771935
2	20	jennies	5.984736
2	21	that	6.759933
2	22	hummed	6.774935
2	23	and	6.348939
2	24	clattered	3.062038
2	25	spun	16.837276
2	26	wool	11.274251
2	27	into	4.472875
2	28	money	12.512921
2	29	for	4.896112
2	30	the	2.086205
2	31	long-bearded	5.527539
2	32	mill	10.085673
2	33	owners	17.553701
2	34	.	0.780877
2	35	<eos>	0.026967
3	1	That	0.000000
3	2	all	11.491339
3	3	mill	16.668123
3	4	owners	13.067776
3	5	were	4.779241
3	6	generally	10.816916
3	7	busy	10.811170
3	8	as	7.438265
3	9	beavers	7.621426
3	10	and	4.220284
3	11	quite	14.622918
3	12	pleased	11.020937
3	13	with	3.193862
3	14	themselves	11.263041
3	15	for	7.794109
3	16	being	9.094284
3	17	so	6.746431
3	18	successful	7.718960
3	19	and	5.601867
3	20	well	10.880713
3	21	off	11.095664
3	22	was	12.733473
3	23	known	10.973501
3	24	to	4.835451
3	25	the	6.016716
3	26	residents	14.367073
3	27	of	2.538006
3	28	Bradford	6.485257
3	29	,	2.301216
3	30	and	4.692966
3	31	if	7.871440
3	32	you	4.923105
3	33	were	3.415779
3	34	to	5.075006
3	35	go	4.847246
3	36	into	5.155284
3	37	the	1.929528
3	38	city	6.908071
3	39	to	5.473689
3	40	visit	9.110316
3	41	the	2.083646
3	42	stately	11.466689
3	43	City	11.874788
3	44	Hall	12.814697
3	45	,	2.852723
3	46	you	4.014122
3	47	would	4.660256
3	48	see	5.500042
3	49	there	7.872560
3	50	the	6.481512
3	51	Crest	20.412127
3	52	of	6.067169
3	53	the	1.287076
3	54	City	9.708699
3	55	of	5.656668
3	56	Bradford	4.825636
3	57	,	1.397239
3	58	which	5.803149
3	59	those	14.119354
3	60	same	13.324118
3	61	mill	15.952065
3	62	owners	9.230449
3	63	created	12.782708
3	64	to	3.115665
3	65	celebrate	11.278270
3	66	their	4.851339
3	67	achievements	15.140138
3	68	.	0.165447
3	69	<eos>	0.011937
4	1	It	0.000000
4	2	shows	9.594214
4	3	a	3.735765
4	4	sinister	8.639318
4	5	looking	13.154295
4	6	boar	8.156974
4	7	's	9.941387
4	8	head	11.982390
4	9	sitting	15.775007
4	10	on	1.771048
4	11	top	13.307160
4	12	of	4.178143
4	13	a	3.260164
4	14	well	15.352841
4	15	which	15.562206
4	16	seems	8.078185
4	17	puzzling	17.121214
4	18	at	5.991051
4	19	first	11.193756
4	20	,	4.246025
4	21	but	3.399661
4	22	the	3.370849
4	23	reason	7.864945
4	24	for	1.979917
4	25	this	6.007998
4	26	symbol	16.933945
4	27	is	0.914077
4	28	a	4.084888
4	29	matter	7.322747
4	30	of	0.634360
4	31	legend	15.445134
4	32	.	0.516469
4	33	<eos>	0.035060
5	1	There	0.000000
