sentence_id	token_id	token	surprisal
1	1	Buffeted	13.3348
1	2	by	0.694877
1	3	swirling	13.121
1	4	winds	8.19548
1	5	,	0.547637
1	6	the	1.66049
1	7	little	7.5476
1	8	green	7.9204
1	9	biplane	12.8326
1	10	struggled	10.9003
1	11	northward	10.2755
1	12	between	6.16205
1	13	the	1.19164
1	14	mountains	7.16175
1	15	beyond	10.9605
1	16	Northfield	12.5869
1	17	Gulf	12.6726
1	18	.	1.69141
2	1	Wires	13.8217
2	2	UNK-LC-ed	9.82056
2	3	as	4.64844
2	4	a	1.38568
2	5	cold	9.50387
2	6	November	12.64
2	7	blast	8.22264
2	8	rocked	8.3584
2	9	the	0.72059
2	10	silver	6.95189
2	11	wings	11.1126
2	12	,	2.71485
2	13	but	5.45473
2	14	the	2.93399
2	15	engine	8.70192
2	16	roar	11.8335
2	17	was	2.86948
2	18	reassuring	9.68745
2	19	to	2.72336
2	20	the	1.22673
2	21	pilot	6.95364
2	22	bundled	13.7332
2	23	in	2.28824
2	24	the	1.24219
2	25	open	7.92131
2	26	cockpit	8.39315
2	27	.	0.736507
3	1	He	3.53003
3	2	peered	12.6426
3	3	ahead	6.18115
3	4	and	2.68007
3	5	grinned	11.2219
3	6	as	4.30866
3	7	the	2.74642
3	8	railroad	8.75524
3	9	tracks	10.104
3	10	came	7.76003
3	11	into	3.74586
3	12	view	8.87119
3	13	again	8.39353
3	14	below	10.7058
3	15	.	6.69578
4	1	``	2.49198
4	2	Good	8.80824
4	3	old	7.32353
4	4	iron	11.4403
4	5	compass	11.498
4	6	!	6.81354
4	7	''	7.40178
4	8	He	7.66476
4	9	thought	7.15877
4	10	.	0.806601
5	1	A	3.8646
5	2	plume	13.413
5	3	of	1.80493
5	4	smoke	9.09471
5	5	rose	8.4496
5	6	from	3.51368
5	7	a	2.30645
5	8	Central	10.723
5	9	Vermont	7.49854
5	10	locomotive	8.4884
5	11	which	7.91733
5	12	idled	9.50665
5	13	behind	10.4276
5	14	a	2.05008
5	15	string	5.86279
5	16	of	0.0857501
5	17	gravel	10.4002
5	18	cars	6.97929
5	19	,	2.72132
5	20	and	3.3141
5	21	little	9.20961
5	22	figures	8.90567
5	23	that	2.3183
5	24	were	3.0818
5	25	workmen	15.2441
5	26	labored	11.5723
5	27	to	4.25712
5	28	set	6.11573
5	29	the	2.77592
5	30	ruptured	12.3865
5	31	UNK-LC-ed	11.1298
5	32	to	5.56937
5	33	rights	13.1925
5	34	.	9.73177
6	1	The	1.90947
6	2	girders	14.9363
6	3	of	5.94763
6	4	a	3.19782
6	5	shattered	12.7307
6	6	Dog	10.864
6	7	River	6.80428
6	8	bridge	9.29679
6	9	lay	8.97618
6	10	strewn	14.4589
6	11	for	4.00581
6	12	half	8.53694
6	13	a	2.76021
6	14	mile	4.29633
6	15	downstream	13.0589
6	16	.	0.907601
7	1	Vermont	10.4928
7	2	's	2.62476
7	3	main	5.18482
7	4	railroad	7.29317
7	5	line	7.1901
7	6	was	2.7492
7	7	prostrate	14.6676
7	8	.	1.50298
8	1	And	4.1505
8	2	in	3.35997
8	3	the	1.5222
8	4	dark	7.52895
8	5	days	6.77164
8	6	after	6.10913
8	7	the	0.897186
8	8	Great	5.42421
8	9	Flood	9.97168
8	10	of	3.55888
8	11	1927	9.12883
8	12	--	5.99008
8	13	the	2.10356
8	14	worst	6.30513
8	15	natural	8.39776
8	16	disaster	6.74913
8	17	in	1.06874
8	18	the	0.781837
8	19	state	5.82665
8	20	's	3.03752
8	21	history	2.2105
8	22	--	0.491709
8	23	the	1.37659
8	24	little	7.82852
