sentence_id	token_id	token	surprisal
1	1	UNK-INITC-KNOWNLC-ed	7.91435
1	2	by	1.55205
1	3	swirling	12.8232
1	4	winds	8.31811
1	5	,	0.549141
1	6	the	1.77328
1	7	little	7.29923
1	8	green	7.93213
1	9	biplane	13.0886
1	10	struggled	11.3065
1	11	northward	10.7216
1	12	between	7.02032
1	13	the	1.50819
1	14	mountains	6.93311
1	15	beyond	10.1122
1	16	Northfield	13.076
1	17	Gulf	15.2053
1	18	.	2.52406
2	1	Wires	12.9338
2	2	UNK-LC-ed	9.23526
2	3	as	4.91587
2	4	a	1.48425
2	5	cold	8.74559
2	6	November	13.0805
2	7	blast	7.15022
2	8	rocked	8.3448
2	9	the	0.941489
2	10	silver	8.44827
2	11	wings	11.7542
2	12	,	2.71408
2	13	but	5.15697
2	14	the	3.65947
2	15	engine	7.24371
2	16	roar	13.3466
2	17	was	2.6377
2	18	reassuring	10.2833
2	19	to	3.59725
2	20	the	1.41981
2	21	pilot	8.22966
2	22	bundled	14.8594
2	23	in	2.45148
2	24	the	1.09913
2	25	open	7.22128
2	26	cockpit	8.35968
2	27	.	0.687652
3	1	He	3.56681
3	2	peered	12.0954
3	3	ahead	6.2482
3	4	and	2.15335
3	5	grinned	12.5506
3	6	as	5.53843
3	7	the	2.6356
3	8	railroad	9.39262
3	9	tracks	9.73899
3	10	came	7.56424
3	11	into	3.60744
3	12	view	8.13841
3	13	again	9.18849
3	14	below	10.8956
3	15	.	3.69929
4	1	``	2.56796
4	2	Good	8.39552
4	3	old	7.54158
4	4	iron	12.1923
4	5	compass	14.0907
4	6	!	7.02891
4	7	''	7.99779
4	8	He	7.21977
4	9	thought	5.99249
4	10	.	0.918769
5	1	A	3.90301
5	2	plume	13.0118
5	3	of	2.02782
5	4	smoke	9.35508
5	5	rose	10.1437
5	6	from	3.76301
5	7	a	2.18869
5	8	Central	9.72506
5	9	Vermont	7.78014
5	10	locomotive	9.60907
5	11	which	6.81008
5	12	idled	10.4443
5	13	behind	9.49131
5	14	a	2.31132
5	15	string	7.18347
5	16	of	0.120237
5	17	gravel	10.298
5	18	cars	7.51039
5	19	,	2.44485
5	20	and	3.48113
5	21	little	7.82991
5	22	figures	9.95855
5	23	that	2.77655
5	24	were	2.68098
5	25	workmen	15.3624
5	26	labored	14.4945
5	27	to	3.81051
5	28	set	6.87541
5	29	the	2.89367
5	30	ruptured	13.3907
5	31	UNK-LC-ed	9.45907
5	32	to	5.51828
5	33	rights	14.7418
5	34	.	3.55579
6	1	The	1.73722
6	2	girders	15.4211
6	3	of	5.64724
6	4	a	3.11901
6	5	shattered	11.3646
6	6	Dog	11.3937
6	7	River	8.42932
6	8	bridge	10.9253
6	9	lay	9.39125
6	10	strewn	13.8638
6	11	for	3.91384
6	12	half	6.84874
6	13	a	3.04337
6	14	mile	5.29007
6	15	downstream	13.0455
6	16	.	1.17583
7	1	Vermont	9.98274
7	2	's	2.18801
7	3	main	5.23177
7	4	railroad	7.72477
7	5	line	6.06315
7	6	was	2.83106
7	7	prostrate	15.0239
7	8	.	2.00204
8	1	And	4.41378
8	2	in	3.36925
8	3	the	1.36696
8	4	dark	7.47605
8	5	days	3.51408
8	6	after	5.64595
8	7	the	1.11988
8	8	Great	5.7991
8	9	Flood	10.1036
8	10	of	3.4654
8	11	1927	14.14
8	12	--	5.62721
8	13	the	2.26956
8	14	worst	6.77639
8	15	natural	9.74963
8	16	disaster	5.28522
8	17	in	1.76374
8	18	the	0.946996
8	19	state	4.9523
8	20	's	2.30077
8	21	history	3.27132
8	22	--	0.424023
8	23	the	1.79741
8	24	little	7.03568
8	25	plane	10.1207
8	26	was	2.3784
8	27	its	6.18574
8	28	sole	6.66549
8	29	replacement	8.75266
8	30	in	2.35899
8	31	carrying	7.54575
8	32	the	1.96406
8	33	United	6.89235
8	34	States	0.592441
8	35	mails	14.4236
8	36	.	0.797388
9	1	Rain	12.9518
9	2	of	4.65127
9	3	near	12.4821
9	4	UNK-LC	7.18078
9	5	proportions	9.56564
9	6	had	4.8632
9	7	fallen	5.72294
9	8	for	4.61818
9	9	three	3.92186
9	10	full	11.5885
9	11	days	1.7079
9	12	and	4.22204
9	13	it	3.79435
9	14	was	1.40265
9	15	still	4.82081
9	16	raining	11.0686
9	17	on	3.06383
9	18	the	1.20394
9	19	morning	7.65111
9	20	of	2.9181
9	21	Friday	7.08141
9	22	,	2.93337
9	23	November	8.52707
9	24	4	6.08988
9	25	,	0.903436
9	26	1927	16.1647
9	27	,	0.956093
9	28	when	3.1562
9	29	officials	7.59133
9	30	of	2.98593
9	31	the	1.03723
9	32	Post	7.63982
9	33	Office	6.56781
9	34	Department	8.698
9	35	's	5.0959
9	36	Railway	11.1109
9	37	Mail	8.30694
9	38	Service	5.9909
9	39	realized	8.10012
9	40	that	0.867847
9	41	their	4.07175
9	42	distribution	8.77066
9	43	system	5.36317
9	44	for	3.79917
9	45	Vermont	10.9357
9	46	had	3.32751
9	47	been	1.12769
9	48	almost	6.9621
9	49	totally	5.92642
9	50	destroyed	6.5644
9	51	overnight	9.58679
9	52	.	10.1825
10	1	Clerks	12.2423
10	2	and	3.30074
10	3	UNK-LC-s	4.03955
10	4	shoveled	13.6499
10	5	muck	14.1675
10	6	out	5.78275
10	7	of	0.375065
10	8	their	2.57576
10	9	offices	7.13186
10	10	--	4.0412
10	11	those	5.56529
10	12	who	1.07638
10	13	still	5.80147
10	14	had	4.08434
10	15	offices	8.6725
10	16	--	2.16861
10	17	and	3.61801
10	18	wondered	9.27923
10	19	how	1.66656
10	20	to	1.39129
10	21	move	5.15512
10	22	the	3.2085
10	23	mail	9.61457
10	24	.	1.18097
11	1	The	1.73722
11	2	state	6.0093
11	3	's	1.54127
11	4	railroad	9.00183
11	5	system	4.65451
11	6	counted	11.0948
11	7	miles	11.0331
11	8	of	1.13566
11	9	broken	10.7975
11	10	bridges	7.45101
11	11	and	1.96635
11	12	missing	9.69153
11	13	UNK-LC-DASH	4.89417
11	14	:	8.8958
11	15	it	7.69037
11	16	would	3.39007
11	17	obviously	9.82987
11	18	remain	7.17109
11	19	out	4.96898
11	20	of	0.1948
11	21	commission	10.4408
11	22	for	3.42414
11	23	weeks	5.57991
11	24	.	0.549149
12	1	And	4.41378
12	2	once	7.12245
12	3	medicine	11.1446
12	4	,	4.74202
12	5	food	6.80698
12	6	,	1.44682
12	7	clothing	4.76516
12	8	and	0.53141
12	9	shelter	7.946
12	10	had	4.55655
12	11	been	1.33131
12	12	provided	6.75353
12	13	for	2.71328
12	14	the	2.33274
12	15	flood	9.6493
12	16	's	6.76435
12	17	victims	8.99655
12	18	,	0.214392
12	19	communications	11.8829
12	20	and	3.25187
12	21	the	6.08906
12	22	mail	8.82049
12	23	were	2.36048
12	24	the	4.30322
12	25	next	7.3772
12	26	top	6.85383
12	27	problems	11.3706
12	28	.	1.51435
13	1	From	7.43252
13	2	Burlington	10.5122
13	3	,	1.34548
13	4	outgoing	14.3172
13	5	mail	11.5376
13	6	could	5.90968
13	7	be	0.962163
13	8	ferried	13.4551
13	9	across	5.91428
13	10	Lake	7.35041
13	11	Champlain	7.46589
13	12	to	3.63821
13	13	the	2.99358
13	14	railroad	7.66288
13	15	at	4.89744
13	16	Port	9.26842
13	17	Kent	8.15779
13	18	,	1.2387
13	19	UNK-CAPS	8.32369
13	20	.	0.572137
14	1	But	3.21367
14	2	what	5.67029
14	3	came	6.62937
14	4	in	2.60017
14	5	was	3.81751
14	6	piling	11.9066
14	7	up	0.586767
14	8	.	2.46027
15	1	The	1.73722
15	2	nearest	10.7533
15	3	UNK-LC-ed	9.11383
15	4	end	8.16828
15	5	of	1.23361
15	6	track	10.5403
15	7	from	6.44529
15	8	Boston	7.81214
15	9	was	2.45549
15	10	at	5.36304
15	11	Concord	11.1441
15	12	,	1.30464
15	13	UNK-CAPS	7.16013
15	14	.	0.641089
16	1	When	5.16356
16	2	Governor	10.204
16	3	Al	7.75485
16	4	Smith	6.00964
16	5	offered	6.52084
16	6	New	7.57063
16	7	York	0.37156
16	8	National	10.6904
16	9	Guard	5.35193
16	10	planes	7.66038
