sentence_id	token_id	token	surprisal
1	1	UNK-INITC-KNOWNLC-ed	7.24564
1	2	by	1.34587
1	3	swirling	13.2825
1	4	winds	8.40878
1	5	,	0.944471
1	6	the	1.5293
1	7	little	8.22636
1	8	green	8.57318
1	9	UNK-LC	4.39654
1	10	struggled	11.6146
1	11	northward	12.5254
1	12	between	6.08893
1	13	the	1.11446
1	14	mountains	7.54245
1	15	beyond	10.1697
1	16	Northfield	13.2517
1	17	Gulf	14.2228
1	18	.	1.6888
2	1	Wires	13.2608
2	2	UNK-LC-ed	7.06785
2	3	as	4.02156
2	4	a	1.34878
2	5	cold	10.1625
2	6	November	12.8829
2	7	blast	7.72345
2	8	rocked	8.11823
2	9	the	0.860453
2	10	silver	8.41987
2	11	wings	14.3134
2	12	,	2.67398
2	13	but	5.34066
2	14	the	4.45784
2	15	engine	7.76393
2	16	roar	14.4023
2	17	was	5.63282
2	18	reassuring	10.8623
2	19	to	3.04829
2	20	the	3.27349
2	21	pilot	9.00216
2	22	bundled	15.5617
2	23	in	2.68251
2	24	the	1.24771
2	25	open	7.37349
2	26	cockpit	10.6356
2	27	.	0.554777
3	1	He	3.65422
3	2	peered	11.0607
3	3	ahead	5.45902
3	4	and	2.59013
3	5	UNK-LC-ed	5.12884
3	6	as	5.05744
3	7	the	2.37095
3	8	railroad	9.29345
3	9	tracks	10.4292
3	10	came	6.95453
3	11	into	3.54763
3	12	view	8.6981
3	13	again	7.31076
3	14	below	10.84
3	15	.	1.27244
4	1	``	2.57867
4	2	Good	8.41777
4	3	old	8.31281
4	4	iron	12.5643
4	5	UNK-LC	4.4244
4	6	!	8.41194
4	7	''	7.30185
4	8	He	6.10781
4	9	thought	4.60687
4	10	.	0.641749
5	1	A	3.82694
5	2	plume	13.297
5	3	of	1.82606
5	4	smoke	9.07322
5	5	rose	7.88768
5	6	from	3.5065
5	7	a	2.40162
5	8	Central	11.6089
5	9	Vermont	8.95493
5	10	locomotive	12.7213
5	11	which	8.44385
5	12	idled	11.0906
5	13	behind	7.72878
5	14	a	2.72108
5	15	string	6.32537
5	16	of	0.105451
5	17	gravel	12.0206
5	18	cars	6.93874
5	19	,	2.55806
5	20	and	2.6744
5	21	little	6.86722
5	22	figures	9.28633
5	23	that	2.35458
5	24	were	2.57099
5	25	workmen	14.3624
5	26	labored	15.7861
5	27	to	4.21891
5	28	set	6.65651
5	29	the	2.48845
5	30	ruptured	19.2454
5	31	UNK-LC-ed	8.4433
5	32	to	4.93586
5	33	rights	12.6242
5	34	.	2.35153
6	1	The	1.80888
6	2	UNK-LC-s	7.76259
6	3	of	1.8167
6	4	a	3.18709
6	5	shattered	12.6755
6	6	Dog	12.5789
6	7	River	7.53021
6	8	bridge	10.2903
6	9	lay	9.94075
6	10	strewn	15.5043
6	11	for	3.52113
6	12	half	7.92982
6	13	a	3.02702
6	14	mile	7.57574
6	15	downstream	14.5478
6	16	.	2.0568
7	1	Vermont	9.66354
7	2	's	1.99185
7	3	main	4.95189
7	4	railroad	11.1439
7	5	line	8.05506
7	6	was	2.99309
7	7	prostrate	14.5259
7	8	.	2.3014
8	1	And	4.43657
8	2	in	3.35118
8	3	the	1.34862
8	4	dark	7.2345
8	5	days	5.19194
8	6	after	6.60364
8	7	the	1.22087
8	8	Great	7.01814
8	9	Flood	9.74067
8	10	of	4.36936
8	11	1927	10.6698
8	12	--	5.83821
8	13	the	2.18711
8	14	worst	6.79136
8	15	natural	8.46663
8	16	disaster	6.06942
8	17	in	2.52384
8	18	the	1.08728
8	19	state	5.18951
8	20	's	2.45541
8	21	history	2.86024
8	22	--	0.604108
8	23	the	2.01842
8	24	little	7.05256
8	25	plane	12.3893
8	26	was	2.25501
8	27	its	5.93348
8	28	sole	7.75054
8	29	replacement	10.0821
8	30	in	2.63681
8	31	carrying	7.70491
8	32	the	1.7807
8	33	United	7.27064
8	34	States	0.767574
8	35	mails	17.3638
8	36	.	1.22785
9	1	Rain	13.5355
9	2	of	4.96312
9	3	near	12.6502
9	4	UNK-LC	5.95851
9	5	proportions	11.8489
9	6	had	4.5026
9	7	fallen	6.43402
9	8	for	4.49692
9	9	three	3.83808
9	10	full	11.2202
9	11	days	1.61029
9	12	and	3.27802
9	13	it	4.09835
9	14	was	1.70718
9	15	still	4.64553
9	16	UNK-LC-ing	6.17297
9	17	on	3.92243
9	18	the	1.27401
9	19	morning	8.1957
9	20	of	3.04399
9	21	Friday	8.6221
9	22	,	2.90977
9	23	November	7.36605
9	24	4	5.16703
9	25	,	0.611781
9	26	1927	10.987
9	27	,	0.617978
9	28	when	4.85877
9	29	officials	8.28258
9	30	of	3.018
9	31	the	0.677599
9	32	Post	8.21425
9	33	Office	5.96401
9	34	Department	10.4776
9	35	's	3.84938
9	36	Railway	9.12647
9	37	Mail	6.91027
9	38	Service	5.46715
9	39	realized	8.80645
9	40	that	0.856479
9	41	their	4.86632
9	42	distribution	8.90496
9	43	system	4.56972
9	44	for	3.47804
9	45	Vermont	10.9964
9	46	had	3.8171
9	47	been	1.21748
9	48	almost	8.13913
9	49	totally	7.9202
9	50	destroyed	7.60721
9	51	overnight	10.343
9	52	.	8.36914
10	1	Clerks	11.9597
10	2	and	3.69219
10	3	UNK-LC-s	4.37871
10	4	UNK-LC-ed	7.24939
10	5	muck	13.6898
10	6	out	6.28908
10	7	of	0.151153
10	8	their	3.27857
10	9	offices	6.66847
10	10	--	4.31282
10	11	those	5.92406
10	12	who	1.4268
10	13	still	6.16213
10	14	had	4.15605
10	15	offices	6.53128
10	16	--	2.31895
10	17	and	2.1685
10	18	wondered	7.86114
10	19	how	2.22908
10	20	to	1.28572
10	21	move	5.65325
10	22	the	3.78947
10	23	mail	9.12747
10	24	.	1.42312
11	1	The	1.80888
11	2	state	6.19056
11	3	's	1.69438
11	4	railroad	10.9165
11	5	system	4.76343
11	6	counted	11.2187
11	7	miles	11.0664
11	8	of	0.572789
11	9	broken	9.61171
11	10	bridges	9.31673
11	11	and	2.11917
11	12	missing	9.26391
11	13	UNK-LC-DASH	5.0348
11	14	:	9.54668
11	15	it	6.7572
11	16	would	3.68609
11	17	obviously	9.12201
11	18	remain	6.49648
11	19	out	4.84433
11	20	of	0.40776
11	21	commission	11.6267
11	22	for	3.96265
11	23	weeks	6.63095
11	24	.	0.463309
12	1	And	4.43657
12	2	once	6.58538
12	3	medicine	11.4747
12	4	,	3.96154
12	5	food	8.27734
12	6	,	1.5362
12	7	clothing	6.50887
12	8	and	0.300988
12	9	shelter	7.69046
