sentence_id	token_id	token	surprisal
1	1	UNK-INITC-KNOWNLC-ed	6.98145
1	2	by	2.26903
1	3	swirling	13.2302
1	4	winds	9.71162
1	5	,	0.549895
1	6	the	1.32117
1	7	little	8.49794
1	8	green	8.56466
1	9	UNK-LC	3.39745
1	10	struggled	11.1927
1	11	UNK-LC	7.30597
1	12	between	6.41282
1	13	the	1.73045
1	14	mountains	8.67804
1	15	beyond	11.379
1	16	Northfield	12.415
1	17	Gulf	17.6054
1	18	.	8.27308
2	1	UNK-INITC-KNOWNLC-s	5.16841
2	2	UNK-LC-ed	6.4316
2	3	as	3.81566
2	4	a	1.30004
2	5	cold	9.40966
2	6	November	10.6944
2	7	blast	10.9665
2	8	UNK-LC-ed	6.11382
2	9	the	3.36087
2	10	silver	9.69816
2	11	wings	14.7815
2	12	,	2.62058
2	13	but	5.13804
2	14	the	4.69093
2	15	engine	8.85674
2	16	UNK-LC	5.54581
2	17	was	5.95386
2	18	reassuring	9.2906
2	19	to	3.80621
2	20	the	1.61525
2	21	pilot	10.1181
2	22	UNK-LC-ed	6.66552
2	23	in	1.59801
2	24	the	1.18545
2	25	open	6.95116
2	26	cockpit	13.9701
2	27	.	0.7207
3	1	He	3.89936
3	2	UNK-LC-ed	5.17651
3	3	ahead	7.75352
3	4	and	2.55671
3	5	UNK-LC-ed	3.23038
3	6	as	4.40356
3	7	the	2.2841
3	8	railroad	9.56454
3	9	tracks	11.8416
3	10	came	6.88168
3	11	into	2.78897
3	12	view	7.39068
3	13	again	9.15235
3	14	below	10.6106
3	15	.	3.58918
4	1	``	2.4186
4	2	Good	7.69402
4	3	old	11.0723
4	4	iron	12.5151
4	5	UNK-LC	5.47666
4	6	!	6.42242
4	7	''	9.57179
4	8	He	5.71025
4	9	thought	6.8047
4	10	.	2.07266
5	1	A	4.09633
5	2	UNK-LC	5.3992
5	3	of	2.84011
5	4	smoke	8.50282
5	5	rose	9.43641
5	6	from	3.70348
5	7	a	2.00754
5	8	Central	10.8749
5	9	Vermont	13.205
5	10	UNK-LC	3.04367
5	11	which	9.48661
5	12	idled	13.3767
5	13	behind	8.48361
5	14	a	2.73925
5	15	string	8.23068
5	16	of	0.157927
5	17	gravel	11.4401
5	18	cars	6.63086
5	19	,	2.65075
5	20	and	4.97784
5	21	little	7.03702
5	22	figures	10.5399
5	23	that	2.3728
5	24	were	3.11548
5	25	workmen	13.8215
5	26	labored	15.4201
5	27	to	3.75016
5	28	set	7.38317
5	29	the	2.32675
5	30	UNK-LC-ed	7.64465
5	31	UNK-LC-ed	9.06557
5	32	to	5.11977
5	33	rights	8.78376
5	34	.	2.21341
6	1	The	1.74334
6	2	UNK-LC-s	6.32497
6	3	of	2.0399
6	4	a	3.90782
6	5	shattered	15.7964
6	6	UNK-INITC-KNOWNLC	12.4157
6	7	River	10.1093
6	8	bridge	12.9944
6	9	lay	11.8838
6	10	strewn	12.9142
6	11	for	5.85709
6	12	half	7.60603
6	13	a	3.76613
6	14	mile	7.13274
6	15	downstream	12.8552
6	16	.	0.822112
7	1	Vermont	9.54343
7	2	's	1.50963
7	3	main	3.90595
7	4	railroad	10.9605
7	5	line	8.74889
7	6	was	2.59023
7	7	UNK-LC	7.53314
7	8	.	1.5788
8	1	And	4.68581
8	2	in	3.75186
8	3	the	1.00427
8	4	dark	7.70333
8	5	days	7.67347
8	6	after	6.70201
8	7	the	0.930727
