sentence_id	token_id	token	surprisal
1	1	If	5.07744
1	2	you	2.76115
1	3	were	3.43999
1	4	to	4.54141
1	5	journey	14.689
1	6	to	3.51766
1	7	the	1.25657
1	8	North	7.66967
1	9	of	5.5693
1	10	England	5.46324
1	11	,	2.69111
1	12	you	5.48562
1	13	would	2.86226
1	14	come	4.67406
1	15	to	1.94269
1	16	a	2.32864
1	17	valley	10.5793
1	18	that	3.07163
1	19	is	2.4948
1	20	surrounded	9.42333
1	21	by	0.152898
1	22	moors	14.8016
1	23	as	6.00687
1	24	high	8.94551
1	25	as	5.14538
1	26	mountains	10.7932
1	27	.	2.02606
2	1	It	3.89723
2	2	is	1.95394
2	3	in	4.47216
2	4	this	4.03383
2	5	valley	9.31462
2	6	where	5.87464
2	7	you	3.66682
2	8	would	5.07244
2	9	find	4.58914
2	10	the	2.67889
2	11	city	6.9093
2	12	of	3.09369
2	13	Bradford	12.2874
2	14	,	1.85424
2	15	where	3.62007
2	16	once	8.71252
2	17	a	2.97155
2	18	thousand	9.13415
2	19	spinning	14.1973
2	20	UNK-LC-s	5.80373
2	21	that	4.93631
2	22	UNK-LC-ed	6.43828
2	23	and	4.23602
2	24	UNK-LC-ed	4.45389
2	25	spun	13.7625
2	26	wool	8.14464
2	27	into	4.52676
2	28	money	8.94256
2	29	for	4.16342
2	30	the	2.14423
2	31	UNK-LC-DASH	4.91463
2	32	mill	10.0123
2	33	owners	10.6778
2	34	.	4.68031
3	1	That	4.70032
3	2	all	8.75884
3	3	mill	13.4595
3	4	owners	4.4818
3	5	were	3.42214
3	6	generally	6.71083
3	7	busy	8.28671
3	8	as	4.89175
3	9	UNK-LC-s	5.80089
3	10	and	2.65156
3	11	quite	12.6955
3	12	pleased	12.4145
3	13	with	0.959993
3	14	themselves	6.4983
3	15	for	5.97777
3	16	being	5.90283
3	17	so	5.72375
3	18	successful	3.30037
3	19	and	4.56291
3	20	well	9.00562
3	21	off	7.92642
3	22	was	4.31362
3	23	known	6.9439
3	24	to	2.35561
3	25	the	3.85043
3	26	residents	9.61875
3	27	of	0.856758
3	28	Bradford	12.5296
3	29	,	2.20882
3	30	and	7.45704
3	31	if	8.39419
3	32	you	4.37907
3	33	were	3.42429
3	34	to	4.43698
3	35	go	4.36289
3	36	into	2.38187
3	37	the	1.71136
3	38	city	6.15831
3	39	to	3.08282
3	40	visit	6.46273
3	41	the	1.43444
3	42	stately	14.4943
3	43	City	7.90114
3	44	Hall	6.83863
3	45	,	2.93414
3	46	you	9.33182
3	47	would	5.81732
3	48	see	3.42834
3	49	there	6.53111
3	50	the	5.01646
3	51	Crest	15.2288
3	52	of	4.38194
3	53	the	1.31861
3	54	City	6.98891
3	55	of	3.87048
3	56	Bradford	11.8531
3	57	,	2.02705
3	58	which	3.05136
3	59	those	9.54288
3	60	same	7.64943
3	61	mill	15.3068
3	62	owners	5.0538
3	63	created	8.29019
3	64	to	2.84701
3	65	celebrate	6.95081
3	66	their	3.12954
3	67	achievements	8.56504
3	68	.	10.607
4	1	It	3.89723
4	2	shows	6.43387
4	3	a	2.76627
4	4	sinister	10.5407
4	5	looking	13.0317
4	6	UNK-LC	7.69986
4	7	's	10.0439
4	8	head	11.2105
4	9	sitting	11.3024
4	10	on	2.08676
4	11	top	8.03627
4	12	of	2.20792
4	13	a	2.21703
4	14	well	9.99835
4	15	which	7.83223
4	16	seems	5.98202
4	17	puzzling	8.57885
4	18	at	4.75596
4	19	first	6.03522
4	20	,	3.37883
4	21	but	5.54862
4	22	the	3.21922
4	23	reason	6.74307
4	24	for	1.57141
4	25	this	4.5175
4	26	symbol	11.5132
4	27	is	7.7965
4	28	a	2.36736
4	29	matter	3.59295
4	30	of	0.357012
4	31	legend	8.2961
4	32	.	3.01777
5	1	There	5.34466
5	2	was	2.55721
5	3	once	10.5117
5	4	,	6.05803
5	5	legend	13.0712
5	6	has	4.96655
5	7	it	7.30503
5	8	,	3.2827
5	9	a	3.72849
5	10	fearsome	12.4851
5	11	UNK-LC	3.49699
5	12	,	2.09111
5	13	which	3.4106
5	14	lived	8.83603
5	15	in	1.46952
5	16	a	2.32043
5	17	wood	7.92325
5	18	located	9.91281
5	19	just	6.64993
5	20	outside	6.55693
5	21	the	0.958299
5	22	manor	15.3911
5	23	of	1.64084
5	24	Bradford	11.8437
5	25	.	0.964139
6	1	A	3.82694
6	2	source	4.94566
6	3	of	1.28101
6	4	great	8.06476
6	5	trouble	6.2844
6	6	to	5.21864
6	7	the	2.18947
6	8	local	6.65392
6	9	folk	9.1891
6	10	the	8.72415
6	11	UNK-LC	5.58193
6	12	was	3.22639
6	13	,	5.47789
6	14	bringing	9.49449
6	15	terror	10.6816
6	16	to	0.667574
6	17	the	1.34342
6	18	peaceful	11.4407
6	19	flocks	16.7551
6	20	and	4.03916
6	21	ravaging	13.2147
6	22	the	5.48606
6	23	countryside	8.35115
6	24	around	7.49165
6	25	.	2.80741
7	1	Even	5.90673
7	2	worse	7.5254
7	3	,	0.259909
7	4	however	4.07583
7	5	,	0.0146601
7	6	the	1.28217
7	7	UNK-LC	6.74349
7	8	most	8.52846
7	9	liked	11.414
7	10	to	2.68831
7	11	go	4.89387
7	12	to	2.04987
7	13	the	1.3312
7	14	well	8.95978
7	15	that	3.59042
7	16	was	5.43726
