sentence_id	token_id	token	surprisal
1	1	If	5.23482
1	2	you	2.97275
1	3	were	3.01326
1	4	to	4.17167
1	5	journey	13.0958
1	6	to	4.59813
1	7	the	1.44856
1	8	North	7.38845
1	9	of	8.70031
1	10	England	6.34045
1	11	,	2.57316
1	12	you	6.60388
1	13	would	4.18526
1	14	come	5.00806
1	15	to	1.87514
1	16	a	2.57148
1	17	valley	9.72829
1	18	that	3.39936
1	19	is	1.85162
1	20	surrounded	10.8971
1	21	by	0.173262
1	22	UNK-LC-s	4.82228
1	23	as	4.28927
1	24	high	7.60248
1	25	as	1.25207
1	26	mountains	12.2284
1	27	.	0.429816
2	1	It	3.44181
2	2	is	1.56022
2	3	in	5.06657
2	4	this	5.28871
2	5	valley	7.89186
2	6	where	5.48561
2	7	you	3.67245
2	8	would	4.68632
2	9	find	4.64589
2	10	the	2.5718
2	11	city	7.32271
2	12	of	2.86792
2	13	UNK-INITC	4.54108
2	14	,	2.80231
2	15	where	4.33089
2	16	once	8.86891
2	17	a	4.59352
2	18	thousand	9.18023
2	19	spinning	15.1503
2	20	UNK-LC-s	6.61363
2	21	that	6.5701
2	22	UNK-LC-ed	5.55247
2	23	and	4.57622
2	24	UNK-LC-ed	3.19918
2	25	spun	14.2265
2	26	UNK-LC	4.93544
2	27	into	4.43193
2	28	money	9.36623
2	29	for	3.90066
2	30	the	1.89665
2	31	UNK-LC-DASH	4.27729
2	32	mill	6.86865
2	33	owners	12.7345
2	34	.	8.05545
3	1	That	4.65827
3	2	all	8.76464
3	3	mill	14.3911
3	4	owners	8.72551
3	5	were	3.52053
3	6	generally	6.79645
3	7	busy	8.70893
3	8	as	3.79529
3	9	UNK-LC-s	6.57311
3	10	and	3.2098
3	11	quite	10.4586
3	12	pleased	9.76901
3	13	with	1.66864
3	14	themselves	6.84609
3	15	for	5.1433
3	16	being	5.99258
3	17	so	6.38466
3	18	successful	6.06299
3	19	and	4.54727
3	20	well	8.86585
3	21	off	6.42653
3	22	was	14.5753
3	23	known	7.84426
3	24	to	3.0836
3	25	the	3.39348
3	26	residents	9.10758
3	27	of	1.70675
3	28	UNK-INITC	3.45859
3	29	,	3.43531
3	30	and	5.24381
3	31	if	6.26236
3	32	you	3.96002
3	33	were	3.04551
3	34	to	4.30229
3	35	go	3.99197
3	36	into	2.63392
3	37	the	1.34295
3	38	city	5.53429
3	39	to	4.31142
3	40	visit	6.04124
3	41	the	1.81633
3	42	UNK-LC-ly	7.78908
3	43	City	8.39932
3	44	Hall	8.89492
3	45	,	2.82502
3	46	you	10.7671
3	47	would	5.81721
3	48	see	4.49182
3	49	there	6.80412
3	50	the	4.52962
3	51	UNK-INITC-est	16.3647
3	52	of	2.36621
3	53	the	1.47234
3	54	City	7.04843
3	55	of	5.21337
3	56	UNK-INITC	3.1237
3	57	,	2.11993
3	58	which	3.17418
3	59	those	9.52105
3	60	same	11.161
3	61	mill	11.6084
3	62	owners	8.24321
3	63	created	8.34281
3	64	to	1.77275
3	65	celebrate	8.15502
3	66	their	3.42896
3	67	achievements	9.96665
3	68	.	7.16799
4	1	It	3.44181
4	2	shows	6.59728
4	3	a	3.8963
4	4	UNK-LC-er	6.9704
4	5	looking	9.8527
4	6	UNK-LC	6.79645
4	7	's	10.4938
4	8	head	10.4529
4	9	sitting	12.1594
4	10	on	2.09563
4	11	top	8.57416
4	12	of	3.00159
4	13	a	1.96044
4	14	well	10.4916
4	15	which	10.0789
4	16	seems	5.47744
4	17	puzzling	11.7418
4	18	at	4.76456
4	19	first	7.28509
4	20	,	3.98009
4	21	but	5.32896
4	22	the	3.04066
4	23	reason	6.34496
4	24	for	2.02025
4	25	this	4.71065
4	26	symbol	9.93465
4	27	is	8.49573
4	28	a	2.74731
4	29	matter	5.04459
4	30	of	0.593993
4	31	legend	12.3787
4	32	.	1.65361
5	1	There	4.80894
5	2	was	2.27822
5	3	once	11.1236
5	4	,	5.20788
5	5	legend	14.9655
5	6	has	10.4191
5	7	it	6.41204
5	8	,	3.15227
5	9	a	4.94784
5	10	UNK-LC	3.55059
5	11	UNK-LC	4.55898
5	12	,	2.10543
5	13	which	3.49093
5	14	lived	9.53215
5	15	in	1.14393
5	16	a	2.87663
5	17	wood	7.1664
5	18	located	11.0823
5	19	just	7.55096
5	20	outside	6.73694
5	21	the	1.12488
5	22	UNK-LC	3.91421
5	23	of	2.40052
5	24	UNK-INITC	3.50065
5	25	.	4.10209
6	1	A	4.09633
6	2	source	7.21521
6	3	of	0.433305
6	4	great	7.76302
6	5	trouble	8.84229
6	6	to	4.54425
6	7	the	1.94755
6	8	local	6.67227
6	9	folk	10.3202
6	10	the	7.5511
6	11	UNK-LC	4.35289
6	12	was	5.58592
6	13	,	5.15783
6	14	bringing	9.22982
6	15	terror	12.7249
6	16	to	1.01351
6	17	the	1.07148
