sentence_id	token_id	token	surprisal
1	1	UNK-INITC-KNOWNLC-ed	0.000000
1	1	by	3.853741
1	2	swirling	12.658666
1	3	winds	9.495287
1	4	,	2.178646
1	5	the	3.182703
1	6	little	7.220658
1	7	green	7.672483
1	8	biplane	12.653112
1	9	struggled	13.592476
1	10	northward	12.297207
1	11	between	6.168281
1	12	the	1.112468
1	13	mountains	6.705411
1	14	beyond	11.209697
1	15	Northfield	14.651299
1	16	Gulf	14.229672
1	17	.	1.769088
2	1	Wires	0.000000
2	1	UNK-LC-ed	8.359052
2	2	as	4.133575
2	3	a	1.347766
2	4	cold	8.608049
2	5	November	11.896651
2	6	blast	12.826581
2	7	rocked	13.865658
2	8	the	1.171758
2	9	silver	8.580326
2	10	wings	9.994192
2	11	,	2.318083
2	12	but	3.106557
2	13	the	1.783390
2	14	engine	7.413930
2	15	roar	14.390407
2	16	was	2.921659
2	17	reassuring	10.617863
2	18	to	1.669287
2	19	the	1.466996
2	20	pilot	8.514897
2	21	bundled	14.853207
2	22	in	1.936583
2	23	the	0.774072
2	24	open	7.624059
2	25	cockpit	9.253270
2	26	.	0.541164
3	1	He	0.000000
3	1	peered	11.168386
3	2	ahead	6.092764
3	3	and	3.201925
3	4	grinned	12.929103
3	5	as	4.301273
3	6	the	1.918690
3	7	railroad	8.516183
3	8	tracks	9.738810
3	9	came	7.573048
3	10	into	3.842744
3	11	view	9.966743
3	12	again	7.487958
3	13	below	9.931816
3	14	.	2.847423
4	1	``	0.000000
4	1	Good	7.422105
4	2	old	10.306836
4	3	iron	12.824475
4	4	compass	15.947304
4	5	!	6.492526
4	6	''	0.032413
4	7	He	9.313011
4	8	thought	7.366752
4	9	.	1.215724
5	1	A	0.000000
5	1	plume	13.321832
5	2	of	0.297522
5	3	smoke	7.142419
5	4	rose	11.337584
5	5	from	2.592235
5	6	a	1.901148
5	7	Central	10.238653
5	8	Vermont	6.705269
5	9	locomotive	8.628410
5	10	which	7.193187
5	11	idled	9.916707
5	12	behind	7.330633
5	13	a	2.329598
5	14	string	6.568735
5	15	of	0.033711
5	16	gravel	9.169080
5	17	cars	8.233433
5	18	,	2.355086
5	19	and	1.985103
5	20	little	8.560987
5	21	figures	9.449719
5	22	that	2.843211
5	23	were	3.183674
5	24	workmen	13.209255
5	25	labored	13.118308
5	26	to	1.665702
5	27	set	5.980242
5	28	the	2.022943
5	29	ruptured	12.411133
5	30	UNK-LC-ed	8.849595
5	31	to	4.680427
5	32	rights	12.753699
5	33	.	1.031662
6	1	The	0.000000
6	1	girders	14.247932
6	2	of	4.124186
6	3	a	2.545911
6	4	shattered	11.598964
6	5	Dog	11.189224
6	6	River	5.437139
6	7	bridge	10.819348
6	8	lay	11.599184
6	9	strewn	12.860623
6	10	for	3.753295
6	11	half	7.861561
6	12	a	2.366415
6	13	mile	4.461996
