sentence_id	token_id	token	surprisal
1	1	UNK-INITC-KNOWNLC-ed	0.000000
1	1	by	2.824696
1	2	swirling	13.466580
1	3	winds	11.922445
1	4	,	2.856973
1	5	the	2.743034
1	6	little	6.903651
1	7	green	7.240406
1	8	UNK-LC	4.078998
1	9	struggled	14.987905
1	10	northward	15.573539
1	11	between	6.537403
1	12	the	1.037073
1	13	mountains	7.185971
1	14	beyond	11.172504
1	15	Northfield	13.561449
1	16	Gulf	14.999415
1	17	.	4.586648
2	1	Wires	0.000000
2	1	UNK-LC-ed	7.771534
2	2	as	3.728854
2	3	a	1.147261
2	4	cold	9.032458
2	5	November	12.284460
2	6	blast	10.529667
2	7	rocked	14.099243
2	8	the	0.732293
2	9	silver	8.584820
2	10	wings	12.441183
2	11	,	2.014561
2	12	but	3.069423
2	13	the	1.798853
2	14	engine	9.716278
2	15	roar	13.472203
2	16	was	4.155846
2	17	reassuring	10.588394
2	18	to	2.733242
2	19	the	1.294281
2	20	pilot	8.831465
2	21	bundled	14.945907
2	22	in	1.837622
2	23	the	1.168055
2	24	open	7.088615
2	25	cockpit	12.386576
2	26	.	0.744364
3	1	He	0.000000
3	1	peered	11.366368
3	2	ahead	6.797081
3	3	and	3.395881
3	4	UNK-LC-ed	4.471799
3	5	as	4.249032
3	6	the	2.263289
3	7	railroad	9.195358
3	8	tracks	9.133506
3	9	came	9.057817
3	10	into	3.246325
3	11	view	8.775553
3	12	again	7.857382
3	13	below	9.333812
3	14	.	3.617268
4	1	``	0.000000
4	1	Good	7.102813
4	2	old	12.309809
4	3	iron	14.720927
4	4	UNK-LC	5.461940
4	5	!	7.508796
4	6	''	0.057410
4	7	He	9.242906
4	8	thought	6.089543
4	9	.	3.547303
5	1	A	0.000000
5	1	plume	12.171743
5	2	of	0.066922
5	3	smoke	8.205630
5	4	rose	10.295312
5	5	from	2.922345
5	6	a	1.881217
5	7	Central	10.522836
5	8	Vermont	9.272516
5	9	locomotive	12.460439
5	10	which	7.603250
5	11	idled	12.679886
5	12	behind	6.327029
5	13	a	2.181760
5	14	string	7.405186
5	15	of	0.020887
5	16	gravel	9.311002
5	17	cars	8.256231
5	18	,	2.165961
5	19	and	2.092969
5	20	little	7.136939
5	21	figures	10.320283
5	22	that	4.033107
5	23	were	3.242881
5	24	workmen	13.754648
5	25	labored	13.324316
5	26	to	2.792664
5	27	set	7.130206
5	28	the	2.426387
5	29	ruptured	13.370274
5	30	UNK-LC-ed	6.865730
5	31	to	3.642038
5	32	rights	11.101638
5	33	.	0.747804
6	1	The	0.000000
6	1	UNK-LC-s	6.625822
6	2	of	2.008229
6	3	a	2.696203
6	4	shattered	13.641895
6	5	Dog	10.492210
6	6	River	6.447123
6	7	bridge	14.471955
6	8	lay	12.061024
6	9	strewn	14.055492
6	10	for	4.755619
6	11	half	7.739268
6	12	a	2.011712
6	13	mile	5.288553
6	14	downstream	14.404006
6	15	.	1.349118
7	1	Vermont	0.000000
7	1	's	2.785388
7	2	main	5.753639
7	3	railroad	8.034315
7	4	line	6.619293
7	5	was	6.087372
7	6	prostrate	14.862248
7	7	.	1.447792
8	1	And	0.000000
8	1	in	3.447671
8	2	the	1.248655
8	3	dark	7.101726
8	4	days	7.597692
8	5	after	5.230014
8	6	the	1.032764
8	7	Great	8.070200
8	8	Flood	11.123577
8	9	of	6.734280
8	10	1927	12.093165
8	11	--	4.437574
8	12	the	2.077122
8	13	worst	5.704302
8	14	natural	10.446034
8	15	disaster	7.048952
8	16	in	2.489941
8	17	the	0.797580
8	18	state	5.133072
8	19	's	2.495326
8	20	history	3.998595
8	21	--	2.508260
8	22	the	2.445013
8	23	little	6.870573
8	24	plane	10.469057
8	25	was	3.608599
