sentence_id	token_id	token	surprisal
1	1	UNK-INITC-KNOWNLC-ed	0.000000
1	1	by	1.900284
1	2	swirling	13.275841
1	3	winds	9.834145
1	4	,	1.626007
1	5	the	3.473007
1	6	little	7.873470
1	7	green	6.611848
1	8	UNK-LC	1.955876
1	9	struggled	13.104451
1	10	UNK-LC	7.230296
1	11	between	7.126046
1	12	the	1.391639
1	13	mountains	7.569756
1	14	beyond	10.750109
1	15	Northfield	12.529115
1	16	Gulf	16.037258
1	17	.	3.532651
2	1	UNK-INITC-KNOWNLC-s	0.000000
2	1	UNK-LC-ed	7.041293
2	2	as	4.953514
2	3	a	1.378125
2	4	cold	8.432746
2	5	November	12.121990
2	6	blast	13.399228
2	7	UNK-LC-ed	5.329299
2	8	the	3.562903
2	9	silver	9.967144
2	10	wings	12.663003
2	11	,	1.934095
2	12	but	2.888727
2	13	the	1.935356
2	14	engine	7.990899
2	15	UNK-LC	4.631841
2	16	was	3.355364
2	17	reassuring	10.903849
2	18	to	3.334939
2	19	the	1.225471
2	20	pilot	11.580366
2	21	UNK-LC-ed	6.836092
2	22	in	2.262269
2	23	the	1.221883
2	24	open	6.921817
2	25	cockpit	12.982182
2	26	.	1.085299
3	1	He	0.000000
3	1	UNK-LC-ed	4.361933
3	2	ahead	8.645576
3	3	and	4.393683
3	4	UNK-LC-ed	5.164944
3	5	as	4.718116
3	6	the	2.155158
3	7	railroad	9.283824
3	8	tracks	10.387340
3	9	came	9.368401
3	10	into	2.868396
3	11	view	7.380538
3	12	again	10.121106
3	13	below	12.331921
3	14	.	7.518323
4	1	``	0.000000
4	1	Good	7.693802
4	2	old	9.052052
4	3	iron	16.172646
4	4	UNK-LC	3.870621
4	5	!	7.104661
4	6	''	0.149015
4	7	He	9.222962
4	8	thought	6.740209
4	9	.	1.880579
5	1	A	0.000000
5	1	UNK-LC	3.781715
5	2	of	1.958589
5	3	smoke	9.423211
5	4	rose	13.826563
5	5	from	3.049736
5	6	a	1.897369
5	7	Central	9.270745
5	8	Vermont	12.449511
5	9	UNK-LC	3.719390
5	10	which	9.569832
5	11	idled	13.523798
5	12	behind	5.413431
5	13	a	2.257318
5	14	string	9.255119
5	15	of	0.058976
5	16	gravel	11.538840
5	17	cars	7.482665
5	18	,	2.493048
5	19	and	2.014412
5	20	little	6.282834
5	21	figures	11.861341
5	22	that	3.342656
5	23	were	5.013329
5	24	workmen	12.830715
5	25	labored	15.086982
5	26	to	5.313494
5	27	set	8.284955
5	28	the	2.916455
5	29	UNK-LC-ed	7.512360
5	30	UNK-LC-ed	7.923319
5	31	to	3.782027
5	32	rights	11.191190
5	33	.	1.045087
6	1	The	0.000000
6	1	UNK-LC-s	5.599352
6	2	of	0.841141
6	3	a	2.815138
6	4	shattered	13.518416
6	5	UNK-INITC-KNOWNLC	6.958501
6	6	River	9.685278
6	7	bridge	14.101076
6	8	lay	13.408047
6	9	strewn	11.561351
6	10	for	5.295255
6	11	half	8.660381
6	12	a	2.530140
6	13	mile	5.194057
6	14	downstream	14.177465
6	15	.	1.666430
7	1	Vermont	0.000000
7	1	's	1.187947
7	2	main	5.154808
7	3	railroad	10.007156
7	4	line	4.806096
7	5	was	5.669538
7	6	UNK-LC	6.574710
7	7	.	1.187513
8	1	And	0.000000
8	1	in	3.487727
8	2	the	1.535357
8	3	dark	8.088614
8	4	days	8.148020
8	5	after	5.700204
8	6	the	0.897205
8	7	Great	6.986790
8	8	Flood	9.722342
8	9	of	4.753560
8	10	UNK-NUM	8.029430
8	11	--	5.590884
8	12	the	1.566923
8	13	worst	7.747651
8	14	natural	10.581051
8	15	disaster	10.506307
8	16	in	3.345264
8	17	the	0.964515
8	18	state	5.439527
8	19	's	3.408054
8	20	history	4.168929
8	21	--	3.683838
8	22	the	3.444808
8	23	little	7.528757
8	24	plane	11.094515
8	25	was	3.932511
8	26	its	6.218929
8	27	sole	6.677867
8	28	replacement	10.560003
8	29	in	3.796096
8	30	carrying	12.652728
8	31	the	1.539879
8	32	United	7.349459
8	33	States	0.611856
8	34	UNK-LC-s	7.118942
8	35	.	1.147571
9	1	UNK-INITC-KNOWNLC	0.000000
9	1	of	3.990548
9	2	near	12.900185
9	3	UNK-LC	6.256799
9	4	proportions	11.908726
9	5	had	10.445515
9	6	fallen	6.191078
9	7	for	5.107233
9	8	three	4.583927
9	9	full	10.357282
9	10	days	2.322162
9	11	and	3.881831
9	12	it	5.086935
9	13	was	2.114409
9	14	still	4.668538
9	15	UNK-LC-ing	4.884769
9	16	on	4.616464
9	17	the	1.132762
9	18	morning	7.876025
9	19	of	3.395551
9	20	Friday	9.926414
9	21	,	2.262492
9	22	November	10.166811
9	23	4	5.019827
9	24	,	0.784367
9	25	UNK-NUM	6.067913
9	26	,	1.068918
9	27	when	4.284820
9	28	officials	7.764184
9	29	of	3.842937
9	30	the	0.559040
