sentence_id	token_id	token	surprisal
1	1	If	0.000000
1	1	you	3.200960
1	2	were	3.561867
1	3	to	3.795079
1	4	journey	13.654607
1	5	to	1.918874
1	6	the	1.168750
1	7	North	7.060755
1	8	of	4.558393
1	9	England	5.693714
1	10	,	1.341688
1	11	you	3.884768
1	12	would	2.733045
1	13	come	5.583619
1	14	to	1.822851
1	15	a	2.480116
1	16	valley	9.100456
1	17	that	2.937706
1	18	is	2.374163
1	19	surrounded	7.196517
1	20	by	0.088567
1	21	moors	14.247818
1	22	as	4.880398
1	23	high	4.695480
1	24	as	0.143269
1	25	mountains	9.855252
1	26	.	1.439899
2	1	It	0.000000
2	1	is	2.032542
2	2	in	3.907805
2	3	this	4.865889
2	4	valley	8.385926
2	5	where	3.840908
2	6	you	3.174987
2	7	would	4.553679
2	8	find	4.691962
2	9	the	2.296162
2	10	city	5.987979
2	11	of	2.925680
2	12	Bradford	12.570043
2	13	,	2.206733
2	14	where	3.112048
2	15	once	7.209781
2	16	a	2.848063
2	17	thousand	6.852508
2	18	spinning	13.048013
2	19	UNK-LC-s	7.394304
2	20	that	5.241865
2	21	hummed	15.518909
2	22	and	3.686972
2	23	UNK-LC-ed	5.828740
2	24	spun	15.282077
2	25	wool	14.708593
2	26	into	3.751806
2	27	money	8.534953
2	28	for	3.830519
2	29	the	1.707249
2	30	UNK-LC-DASH	4.927194
2	31	mill	8.799984
2	32	owners	8.622936
2	33	.	0.716639
3	1	That	0.000000
3	1	all	8.031614
3	2	mill	12.512982
3	3	owners	5.190746
3	4	were	3.282244
3	5	generally	7.112415
3	6	busy	6.217364
3	7	as	4.091533
3	8	beavers	15.062445
3	9	and	3.124607
3	10	quite	9.065936
3	11	pleased	7.599428
3	12	with	2.845938
3	13	themselves	6.689979
3	14	for	5.166361
3	15	being	5.974168
3	16	so	5.267431
3	17	successful	4.300912
3	18	and	3.229658
3	19	well	6.922044
3	20	off	7.129675
3	21	was	9.282818
3	22	known	6.559718
3	23	to	2.243714
3	24	the	4.278463
3	25	residents	8.414228
3	26	of	0.839372
3	27	Bradford	13.824822
3	28	,	1.953349
3	29	and	2.719520
3	30	if	6.239772
3	31	you	3.785485
3	32	were	2.753151
3	33	to	3.731817
3	34	go	3.662314
3	35	into	2.628491
3	36	the	1.233158
3	37	city	5.489007
3	38	to	3.704005
3	39	visit	7.623370
3	40	the	1.245680
3	41	stately	11.371274
3	42	City	6.988397
3	43	Hall	6.342341
3	44	,	1.524373
3	45	you	4.049589
3	46	would	2.817920
3	47	see	4.439192
3	48	there	5.606982
3	49	the	5.092171
3	50	Crest	14.151281
3	51	of	5.451003
3	52	the	1.630793
3	53	City	6.677576
3	54	of	3.113495
3	55	Bradford	12.296991
3	56	,	1.993088
3	57	which	3.127329
3	58	those	9.096237
3	59	same	6.031925
3	60	mill	13.088220
3	61	owners	4.375222
3	62	created	8.917060
3	63	to	2.230614
3	64	celebrate	6.783608
3	65	their	3.886261
3	66	achievements	9.361331
3	67	.	0.453544
4	1	It	0.000000
4	1	shows	6.556982
4	2	a	2.511499
4	3	sinister	11.087884
4	4	looking	10.600191
4	5	boar	16.960123
4	6	's	6.731588
4	7	head	6.542531
4	8	sitting	9.572979
4	9	on	1.960599
4	10	top	6.716056
4	11	of	0.336246
4	12	a	2.332809
4	13	well	9.860260
4	14	which	9.612610
4	15	seems	5.254109
4	16	puzzling	9.690262
4	17	at	4.395761
4	18	first	5.841726
4	19	,	2.095804
4	20	but	2.823519
4	21	the	2.076248
4	22	reason	7.138269
4	23	for	2.120728
4	24	this	3.971398
4	25	symbol	9.521621
4	26	is	1.308579
4	27	a	2.339652
4	28	matter	5.999416
4	29	of	0.183184
4	30	legend	8.759942
4	31	.	0.748360
5	1	There	0.000000
5	1	was	2.426506
5	2	once	8.375450
5	3	,	5.314716
5	4	legend	13.316120
5	5	has	3.725535
5	6	it	5.736502
5	7	,	2.727425
5	8	a	3.632347
5	9	fearsome	10.675412
5	10	boar	11.504447
5	11	,	1.460311
5	12	which	4.677530
5	13	lived	8.314909
5	14	in	1.497031
5	15	a	2.200253
5	16	wood	8.178437
5	17	located	12.098303
5	18	just	6.171599
5	19	outside	5.251404
5	20	the	1.059258
5	21	manor	9.842141
5	22	of	3.833145
5	23	Bradford	13.566691
5	24	.	2.101958
6	1	A	0.000000
6	1	source	7.165633
6	2	of	0.544963
6	3	great	7.571292
6	4	trouble	5.598569
6	5	to	3.719821
6	6	the	3.577187
6	7	local	5.823456
6	8	folk	9.713781
6	9	the	6.799154
6	10	boar	14.041228
6	11	was	5.665676
6	12	,	5.153930
6	13	bringing	8.415774
6	14	terror	11.721205
6	15	to	2.326224
6	16	the	1.420007
6	17	peaceful	10.773353
6	18	flocks	11.904102
6	19	and	3.700856
6	20	ravaging	11.440935
6	21	the	1.084225
6	22	countryside	7.730020
6	23	around	7.230204
6	24	.	2.943885
7	1	Even	0.000000
7	1	worse	5.565865
7	2	,	1.489339
7	3	however	4.822566
7	4	,	0.648971
7	5	the	3.214797
7	6	boar	14.958044
7	7	most	8.141512
7	8	liked	9.628551
7	9	to	2.698611
7	10	go	4.536119
7	11	to	2.064248
7	12	the	1.197122
7	13	well	10.154258
7	14	that	5.051981
7	15	was	4.661351
7	16	in	3.818040
7	17	the	1.253589
7	18	wood	9.930995
7	19	and	2.982316
7	20	drink	7.438504
7	21	its	7.146390
7	22	fresh	8.304585
7	23	water	4.418264
7	24	,	2.402208
7	25	so	5.182329
7	26	that	2.470814
7	27	the	1.534994
7	28	people	5.601621
7	29	of	3.814348
7	30	Bradford	15.034562
7	31	had	4.272101
7	32	second	9.470840
7	33	thoughts	0.778023
7	34	about	1.717902
7	35	visiting	9.370685
7	36	the	1.283450
7	37	well	9.066851
7	38	.	0.757690
8	1	That	0.000000
8	1	the	4.385115
8	2	people	6.283168
8	3	of	3.560516
8	4	Bradford	13.635753
8	5	bore	12.644859
8	6	the	2.191987
8	7	brunt	6.632473
8	8	of	0.034367
8	9	the	0.948533
8	10	beast	11.157250
8	11	's	1.375189
8	12	ferocity	11.264336
8	13	was	8.472940
8	14	unfair	8.750747
8	15	in	3.516914
8	16	the	0.957627
8	17	eyes	5.563250
8	18	of	0.139814
8	19	the	1.335462
8	20	people	4.240050
8	21	of	2.949572
8	22	the	0.829554
8	23	region	5.469284
8	24	.	0.359033
9	1	Eventually	0.000000
9	1	,	1.796612
9	2	the	2.627668
9	3	issue	6.661260
9	4	reached	7.517847
9	5	the	2.137158
9	6	ears	12.119984
9	7	of	0.565944
9	8	the	1.132573
9	9	kindly	12.883589
9	10	Lord	10.459855
9	11	of	3.291122
9	12	the	2.060368
9	13	Manor	11.886998
9	14	who	10.184278
9	15	the	5.563476
9	16	people	6.171387
9	17	had	3.984061
9	18	often	7.246711
9	19	asked	5.690653
9	20	for	2.353672
9	21	help	6.430330
9	22	.	0.778556
10	1	The	0.000000
10	1	Lord	10.276480
10	2	saw	11.354816
10	3	the	2.248989
10	4	severity	10.635371
10	5	of	0.030977
10	6	the	0.919753
10	7	problem	5.071593
10	8	the	5.677579
10	9	people	5.953692
10	10	faced	6.716171
10	11	and	4.216268
10	12	suggested	7.044718
10	13	a	3.906306
10	14	contest	9.091854
10	15	could	5.263470
10	16	solve	7.138811
10	17	the	0.989487
10	18	problem	2.824187
10	19	.	0.877523
11	1	He	0.000000
11	1	said	3.255575
11	2	that	2.243682
11	3	whoever	10.095378
11	4	could	4.203366
11	5	kill	7.456068
11	6	the	1.209626
11	7	boar	14.327574
11	8	and	3.018185
11	9	bring	7.908770
11	10	as	6.779195
11	11	proof	7.874696
11	12	its	7.608126
11	13	head	6.304926
11	14	to	3.391665
11	15	the	2.010894
11	16	Manor	14.005759
11	17	House	8.573447
11	18	would	4.737490
11	19	be	1.599436
11	20	rewarded	7.877406
11	21	with	2.274687
11	22	land	10.074072
11	23	and	2.297124
11	24	fame	11.423276
11	25	.	0.460159
12	1	It	0.000000
12	1	was	2.387950
12	2	the	2.861479
12	3	people	8.242298
12	4	of	2.207045
12	5	Bradford	13.503359
12	6	and	3.292609
12	7	the	2.346172
12	8	people	6.215991
12	9	who	1.724302
12	10	knew	5.533217
12	11	them	4.656008
12	12	who	4.998466
12	13	rejoiced	13.346215
12	14	at	4.014179
12	15	this	3.917543
12	16	proclamation	13.068728
12	17	but	6.083688
12	18	one	5.756697
12	19	question	6.310568
12	20	remained	8.184436
12	21	:	5.289736
12	22	who	8.768324
12	23	would	3.174242
12	24	kill	6.834680
12	25	the	1.379645
12	26	boar	13.611569
12	27	?	4.659868
12	28	By	13.726195
12	29	the	2.448495
12	30	handsome	11.116625
12	31	reward	10.702155
12	32	many	7.115870
12	33	felt	10.000231
12	34	tempted	11.817406
12	35	,	3.768873
12	36	but	4.402920
12	37	the	1.879477
12	38	thought	7.690949
12	39	of	1.129447
12	40	the	1.171862
12	41	boar	13.242032
12	42	with	5.920370
12	43	its	4.962800
12	44	deadly	9.593823
12	45	tusks	12.243454
12	46	and	3.032600
12	47	face	8.218858
12	48	like	6.814100
12	49	thunder	10.567169
12	50	soon	9.265905
12	51	put	8.860242
12	52	an	4.484006
12	53	end	3.974949
12	54	to	0.856973
12	55	their	4.495720
12	56	ambitions	8.678535
12	57	.	0.521618
13	1	However	0.000000
13	1	,	0.876603
13	2	there	5.961165
13	3	was	2.375091
13	4	one	4.644914
13	5	UNK-LC	7.713648
13	6	,	2.669213
13	7	who	5.402447
13	8	was	2.220335
13	9	still	5.487403
13	10	wet	9.556172
13	11	behind	6.591143
13	12	the	1.084688
13	13	ears	9.490633
13	14	,	2.714485
13	15	who	4.374637
13	16	decided	6.487627
13	17	the	2.944309
13	18	prize	8.172237
13	19	was	2.582249
13	20	worth	5.847861
13	21	a	2.421477
13	22	shot	5.769649
13	23	,	2.598141
13	24	in	4.183378
13	25	spite	5.869360
13	26	of	0.019213
13	27	the	1.134853
13	28	boar	12.744076
13	29	's	1.203003
13	30	reputation	6.313284
13	31	.	0.590209
14	1	The	0.000000
14	1	UNK-LC	6.815644
14	2	discovered	10.627323
14	3	the	2.706775
14	4	boar	13.396040
14	5	preferred	11.272698
14	6	to	2.905029
14	7	come	5.547086
14	8	out	3.011491
14	9	in	2.843522
14	10	the	1.032324
14	11	middle	4.446212
14	12	of	0.270013
14	13	the	0.699330
14	14	day	4.592410
14	15	.	0.651488
15	1	So	0.000000
15	1	he	4.085845
15	2	went	5.849152
15	3	to	1.537522
15	4	the	1.078049
15	5	wood	11.545650
15	6	by	4.915467
15	7	the	2.194317
15	8	well	9.611805
15	9	with	5.201669
15	10	his	3.216150
15	11	good	6.669167
15	12	bow	9.996568
