sentence_id	token_id	token	surprisal
1	1	If	0.000000
1	1	you	3.271285
1	2	were	3.138272
1	3	to	3.758950
1	4	journey	15.106209
1	5	to	3.118346
1	6	the	0.988126
1	7	North	6.297734
1	8	of	4.399611
1	9	England	5.111460
1	10	,	1.483779
1	11	you	5.588854
1	12	would	3.335836
1	13	come	5.217162
1	14	to	2.050624
1	15	a	2.260102
1	16	valley	9.665537
1	17	that	2.874942
1	18	is	2.212474
1	19	surrounded	7.590425
1	20	by	0.145689
1	21	moors	15.170661
1	22	as	5.591511
1	23	high	5.327435
1	24	as	0.117735
1	25	mountains	10.819794
1	26	.	1.310380
2	1	It	0.000000
2	1	is	2.117377
2	2	in	3.825864
2	3	this	5.407016
2	4	valley	10.156900
2	5	where	4.142536
2	6	you	3.511347
2	7	would	4.785038
2	8	find	4.451579
2	9	the	2.434475
2	10	city	6.716962
2	11	of	2.339134
2	12	Bradford	10.873037
2	13	,	1.440117
2	14	where	4.598147
2	15	once	7.282234
2	16	a	2.903659
2	17	thousand	7.474269
2	18	spinning	13.440716
2	19	UNK-LC-s	6.889812
2	20	that	4.975742
2	21	UNK-LC-ed	7.845556
2	22	and	3.965929
2	23	UNK-LC-ed	6.004400
2	24	spun	13.091254
2	25	wool	14.736805
2	26	into	3.731697
2	27	money	8.707173
2	28	for	3.299186
2	29	the	1.465738
2	30	UNK-LC-DASH	4.597564
2	31	mill	9.087337
2	32	owners	9.019285
2	33	.	1.975003
3	1	That	0.000000
3	1	all	7.509054
3	2	mill	12.008348
3	3	owners	3.874463
3	4	were	2.977082
3	5	generally	7.500485
3	6	busy	6.835903
3	7	as	5.052462
3	8	beavers	14.364471
3	9	and	3.892385
3	10	quite	8.280809
3	11	pleased	6.998661
3	12	with	1.121751
3	13	themselves	7.178790
3	14	for	5.137379
3	15	being	5.662528
3	16	so	5.789325
3	17	successful	4.263895
3	18	and	3.881335
3	19	well	7.706233
3	20	off	5.624449
3	21	was	8.576500
3	22	known	6.985744
3	23	to	1.717408
3	24	the	3.574730
3	25	residents	9.064680
3	26	of	0.842662
3	27	Bradford	12.696256
3	28	,	1.970710
3	29	and	2.898062
3	30	if	5.629524
3	31	you	4.054320
3	32	were	2.329336
3	33	to	4.019990
3	34	go	3.810185
3	35	into	2.771353
3	36	the	1.207325
3	37	city	5.265868
3	38	to	3.318911
3	39	visit	6.999237
3	40	the	1.173021
3	41	stately	10.263855
3	42	City	8.884819
3	43	Hall	7.057221
3	44	,	1.032421
3	45	you	4.092381
3	46	would	3.573020
3	47	see	4.086360
3	48	there	5.881285
3	49	the	4.516408
3	50	Crest	14.555756
3	51	of	5.700374
3	52	the	1.172312
3	53	City	8.634605
3	54	of	2.635903
3	55	Bradford	12.721667
3	56	,	1.398132
3	57	which	3.456056
3	58	those	8.960690
3	59	same	7.625154
3	60	mill	13.901279
3	61	owners	5.707250
3	62	created	8.069914
3	63	to	2.959119
3	64	celebrate	6.466246
3	65	their	3.319815
3	66	achievements	9.248424
3	67	.	0.379291
4	1	It	0.000000
4	1	shows	6.946987
4	2	a	2.522658
4	3	sinister	11.179680
4	4	looking	12.371026
4	5	boar	17.731173
4	6	's	8.293746
4	7	head	7.004595
4	8	sitting	9.344565
4	9	on	1.477678
4	10	top	6.800365
4	11	of	0.462458
4	12	a	2.221116
4	13	well	8.584714
4	14	which	10.335566
4	15	seems	5.782691
4	16	puzzling	9.840720
4	17	at	4.589076
4	18	first	6.165079
4	19	,	2.171721
4	20	but	2.588768
4	21	the	2.211533
4	22	reason	6.671728
4	23	for	1.466030
4	24	this	3.972333
4	25	symbol	9.630575
4	26	is	0.985070
4	27	a	1.881445
4	28	matter	5.042808
4	29	of	0.242705
4	30	legend	10.073335
4	31	.	0.863492
5	1	There	0.000000
5	1	was	2.347262
5	2	once	7.857644
5	3	,	6.484756
5	4	legend	12.532208
5	5	has	2.953377
5	6	it	6.593170
5	7	,	2.376140
5	8	a	3.432521
5	9	fearsome	10.789656
5	10	boar	12.606619
5	11	,	1.405550
5	12	which	4.497627
5	13	lived	7.886095
5	14	in	1.272512
5	15	a	2.379947
5	16	wood	7.933201
5	17	located	11.809698
5	18	just	6.533001
5	19	outside	5.612230
5	20	the	1.355287
5	21	manor	8.529837
5	22	of	3.089318
5	23	Bradford	13.091328
5	24	.	1.721554
6	1	A	0.000000
6	1	source	6.878995
6	2	of	0.624555
6	3	great	8.408562
6	4	trouble	7.108759
6	5	to	2.574040
6	6	the	4.414833
6	7	local	6.220489
6	8	folk	10.516340
6	9	the	9.795903
6	10	boar	13.410771
6	11	was	5.504903
6	12	,	4.886257
6	13	bringing	8.751101
6	14	terror	10.666027
6	15	to	1.829710
6	16	the	1.306993
6	17	peaceful	10.128354
6	18	flocks	11.205934
6	19	and	4.577446
6	20	ravaging	11.963720
6	21	the	3.398947
6	22	countryside	7.471472
6	23	around	6.700798
6	24	.	2.344864
7	1	Even	0.000000
7	1	worse	5.331061
7	2	,	1.855857
7	3	however	4.707901
7	4	,	0.445298
7	5	the	3.597131
7	6	boar	14.643366
7	7	most	8.829231
7	8	liked	9.258102
7	9	to	2.771806
7	10	go	4.781329
7	11	to	1.888630
7	12	the	1.075427
7	13	well	9.332924
7	14	that	4.627727
7	15	was	5.578155
