sentence_id	token_id	token	surprisal
1	1	If	0.000000
1	1	you	3.092275
1	2	were	3.521389
1	3	to	3.138332
1	4	journey	14.107151
1	5	to	2.745529
1	6	the	1.044462
1	7	North	7.316386
1	8	of	5.293811
1	9	England	5.901863
1	10	,	1.416937
1	11	you	4.708785
1	12	would	3.003500
1	13	come	5.509672
1	14	to	1.640470
1	15	a	2.568926
1	16	valley	10.135824
1	17	that	2.245191
1	18	is	2.294178
1	19	surrounded	9.305726
1	20	by	0.148015
1	21	moors	14.552852
1	22	as	6.748223
1	23	high	6.537196
1	24	as	0.164919
1	25	mountains	12.437828
1	26	.	1.803751
2	1	It	0.000000
2	1	is	1.936211
2	2	in	3.547632
2	3	this	4.733982
2	4	valley	9.276901
2	5	where	4.854155
2	6	you	4.271754
2	7	would	4.721529
2	8	find	5.001078
2	9	the	2.186605
2	10	city	7.107191
2	11	of	2.919290
2	12	Bradford	12.023757
2	13	,	2.028333
2	14	where	4.085361
2	15	once	7.212748
2	16	a	2.966704
2	17	thousand	7.382255
2	18	spinning	12.279715
2	19	UNK-LC-s	6.176140
2	20	that	5.046877
2	21	UNK-LC-ed	6.918979
2	22	and	4.810479
2	23	UNK-LC-ed	4.797385
2	24	spun	13.711754
2	25	wool	14.351582
2	26	into	4.049966
2	27	money	8.217377
2	28	for	3.021862
2	29	the	1.656421
2	30	UNK-LC-DASH	4.341903
2	31	mill	9.101316
2	32	owners	9.791302
2	33	.	1.131359
3	1	That	0.000000
3	1	all	7.306344
3	2	mill	14.295940
3	3	owners	5.194282
3	4	were	3.073061
3	5	generally	7.132224
3	6	busy	7.124032
3	7	as	4.665355
3	8	UNK-LC-s	7.482769
3	9	and	2.916751
3	10	quite	9.688997
3	11	pleased	9.083076
3	12	with	1.910244
3	13	themselves	7.287266
3	14	for	5.099235
3	15	being	6.342498
3	16	so	6.401462
3	17	successful	5.040689
3	18	and	3.703853
3	19	well	8.065886
3	20	off	5.591676
3	21	was	8.285305
3	22	known	6.694335
3	23	to	1.864400
3	24	the	2.948165
3	25	residents	8.909390
3	26	of	1.244368
3	27	Bradford	13.486832
3	28	,	1.749530
3	29	and	3.309966
3	30	if	5.943602
3	31	you	3.877518
3	32	were	2.669118
3	33	to	3.424128
3	34	go	3.415017
3	35	into	2.859118
3	36	the	1.416942
3	37	city	6.032080
3	38	to	3.953020
3	39	visit	6.728328
3	40	the	1.502569
3	41	stately	13.404808
3	42	City	10.290700
3	43	Hall	6.893250
3	44	,	1.208795
3	45	you	3.593130
3	46	would	3.240327
3	47	see	4.230373
3	48	there	5.980126
3	49	the	4.331858
3	50	Crest	13.092264
3	51	of	5.877334
3	52	the	2.256746
3	53	City	6.768557
3	54	of	2.851381
3	55	Bradford	11.769450
3	56	,	1.502612
3	57	which	3.447316
3	58	those	9.181230
3	59	same	7.451671
3	60	mill	12.714378
3	61	owners	7.902399
3	62	created	7.705824
3	63	to	2.987604
3	64	celebrate	7.547184
3	65	their	2.870277
3	66	achievements	9.222809
3	67	.	0.543179
4	1	It	0.000000
4	1	shows	6.856052
4	2	a	2.613949
4	3	sinister	11.938855
4	4	looking	12.347150
4	5	UNK-LC	8.656477
4	6	's	7.147949
4	7	head	7.084239
4	8	sitting	11.023996
4	9	on	2.192242
4	10	top	6.935438
4	11	of	0.622097
4	12	a	2.250196
4	13	well	9.837600
4	14	which	9.821294
4	15	seems	7.150661
4	16	puzzling	9.267474
4	17	at	4.170855
4	18	first	6.131687
4	19	,	1.905943
4	20	but	3.085057
4	21	the	2.090642
4	22	reason	7.205724
4	23	for	1.871149
4	24	this	3.723012
4	25	symbol	12.238837
4	26	is	2.386582
4	27	a	2.474316
4	28	matter	5.372028
4	29	of	0.075422
4	30	legend	9.090950
4	31	.	0.628155
5	1	There	0.000000
5	1	was	2.493845
5	2	once	8.652803
5	3	,	4.628614
5	4	legend	13.483731
5	5	has	4.173139
5	6	it	6.627493
5	7	,	2.860920
5	8	a	3.446065
5	9	fearsome	12.472519
5	10	UNK-LC	2.877369
5	11	,	1.691127
5	12	which	3.468284
5	13	lived	9.544035
5	14	in	0.649819
5	15	a	2.477622
5	16	wood	6.287962
5	17	located	11.658378
5	18	just	6.625617
5	19	outside	7.041187
5	20	the	0.783017
5	21	manor	13.165075
5	22	of	0.063169
5	23	Bradford	12.518182
5	24	.	2.506515
6	1	A	0.000000
6	1	source	6.396111
6	2	of	0.555574
6	3	great	8.279169
6	4	trouble	6.544043
6	5	to	3.077852
6	6	the	3.828298
6	7	local	6.410215
6	8	folk	11.070060
6	9	the	6.990665
6	10	UNK-LC	4.234341
6	11	was	6.604629
6	12	,	4.549445
6	13	bringing	9.611916
6	14	terror	12.110927
6	15	to	2.528119
6	16	the	1.237435
6	17	peaceful	11.485204
6	18	flocks	14.658216
6	19	and	2.948905
6	20	ravaging	14.236013
6	21	the	4.442946
6	22	countryside	6.222996
6	23	around	6.356691
6	24	.	2.763956
7	1	Even	0.000000
7	1	worse	6.558066
7	2	,	1.783945
7	3	however	5.073479
7	4	,	0.601772
7	5	the	4.011301
7	6	UNK-LC	5.966425
7	7	most	7.279604
7	8	liked	11.263174
7	9	to	2.771833
7	10	go	4.748835
7	11	to	2.032183
7	12	the	1.434311
7	13	well	9.960098
7	14	that	5.044437
7	15	was	4.855047
7	16	in	3.655847
7	17	the	1.301045
7	18	wood	11.696108
7	19	and	2.408293
7	20	drink	9.279005
7	21	its	7.809384
7	22	fresh	8.820764
7	23	water	5.018075
7	24	,	2.290144
7	25	so	4.616225
7	26	that	2.552976
7	27	the	1.533355
7	28	people	5.852648
7	29	of	2.683006
7	30	Bradford	13.029608
7	31	had	3.801467
7	32	second	9.914495
7	33	thoughts	2.385567
7	34	about	2.139960
7	35	visiting	11.158645
7	36	the	1.164518
7	37	well	10.611210
7	38	.	1.052114
8	1	That	0.000000
8	1	the	4.023311
8	2	people	6.598828
8	3	of	3.076300
8	4	Bradford	13.235188
8	5	bore	12.775446
8	6	the	1.643207
8	7	brunt	7.714391
8	8	of	0.009622
8	9	the	0.521297
8	10	beast	12.086572
8	11	's	2.382240
8	12	ferocity	13.914841
8	13	was	9.214769
8	14	unfair	9.353109
8	15	in	4.131289
8	16	the	0.898142
8	17	eyes	6.704254
8	18	of	0.166597
8	19	the	1.349086
8	20	people	5.226515
8	21	of	2.345281
8	22	the	0.978126
8	23	region	5.252556
8	24	.	0.509791
9	1	Eventually	0.000000
9	1	,	1.214038
9	2	the	2.967933
9	3	issue	6.065696
9	4	reached	8.107475
9	5	the	2.049752
9	6	ears	13.375846
9	7	of	0.843483
9	8	the	0.767818
9	9	kindly	14.938362
9	10	Lord	11.330036
9	11	of	3.308652
9	12	the	2.553684
9	13	Manor	13.032771
9	14	who	8.444805
9	15	the	5.840899
9	16	people	6.529469
9	17	had	3.763167
9	18	often	7.395097
9	19	asked	5.668290
9	20	for	1.670684
9	21	help	7.509451
9	22	.	0.849822
10	1	The	0.000000
10	1	Lord	11.284532
10	2	saw	13.971059
10	3	the	1.818537
10	4	severity	8.396898
10	5	of	0.020900
10	6	the	0.620865
10	7	problem	5.612724
10	8	the	5.283719
10	9	people	6.757184
10	10	faced	6.764383
10	11	and	4.452640
10	12	suggested	7.875497
10	13	a	4.170499
10	14	contest	9.152679
10	15	could	3.629989
10	16	solve	7.467961
10	17	the	0.595542
10	18	problem	3.264125
10	19	.	0.699459
11	1	He	0.000000
11	1	said	2.924380
11	2	that	2.640356
11	3	whoever	10.543118
11	4	could	3.816457
11	5	kill	7.035300
11	6	the	1.088406
11	7	UNK-LC	6.244728
11	8	and	3.272716
11	9	bring	7.647679
11	10	as	6.505949
11	11	proof	9.055357
11	12	its	7.919578
11	13	head	7.451754
11	14	to	3.048930
11	15	the	1.329883
11	16	Manor	13.719933
11	17	House	6.846169
11	18	would	6.737312
11	19	be	1.876804
11	20	rewarded	8.884109
11	21	with	2.727387
11	22	land	9.604493
11	23	and	2.568816
11	24	fame	11.282573
11	25	.	0.508854
12	1	It	0.000000
12	1	was	2.321843
12	2	the	2.707385
12	3	people	8.902181
12	4	of	1.325546
12	5	Bradford	12.976736
12	6	and	3.137379
12	7	the	2.270340
12	8	people	6.118163
12	9	who	1.437230
12	10	knew	5.517984
12	11	them	5.051842
12	12	who	5.347125
12	13	UNK-LC-ed	6.018929
12	14	at	4.167022
12	15	this	4.392766
12	16	proclamation	13.852744
12	17	but	6.686639
12	18	one	5.558577
12	19	question	7.980913
12	20	remained	8.661455
12	21	:	4.593279
12	22	who	7.462431
12	23	would	3.740542
12	24	kill	7.535298
12	25	the	1.122161
12	26	UNK-LC	5.193707
12	27	?	4.322238
12	28	By	16.208927
12	29	the	4.006203
12	30	handsome	11.652148
12	31	reward	10.708486
12	32	many	9.747308
12	33	felt	10.691191
12	34	tempted	14.259047
12	35	,	3.863035
12	36	but	3.232817
12	37	the	2.220785
12	38	thought	8.329511
12	39	of	1.574532
12	40	the	1.793831
12	41	UNK-LC	4.491608
12	42	with	5.753722
12	43	its	4.900367
12	44	deadly	11.150030
12	45	UNK-LC-s	4.978466
12	46	and	3.027784
12	47	face	8.623582
12	48	like	8.832695
12	49	thunder	12.679634
12	50	soon	11.140602
12	51	put	9.481902
12	52	an	4.111469
12	53	end	4.486337
12	54	to	0.462718
12	55	their	4.641057
12	56	ambitions	8.098949
12	57	.	0.530296
13	1	However	0.000000
13	1	,	0.160955
13	2	there	5.823538
13	3	was	2.432317
13	4	one	4.263370
13	5	UNK-LC	5.359384
13	6	,	2.246948
13	7	who	5.251551
13	8	was	2.399533
13	9	still	5.085390
13	10	wet	9.880013
13	11	behind	6.437905
13	12	the	1.257357
13	13	ears	10.483054
13	14	,	2.248276
13	15	who	4.386531
13	16	decided	6.916304
13	17	the	3.773531
13	18	prize	7.279518
13	19	was	1.950715
13	20	worth	6.021173
13	21	a	2.551580
13	22	shot	6.208562
13	23	,	2.461547
13	24	in	4.451183
13	25	spite	6.783065
13	26	of	0.031629
13	27	the	1.661827
13	28	UNK-LC	4.076660
13	29	's	4.278150
13	30	reputation	6.644351
13	31	.	0.970208
14	1	The	0.000000
14	1	UNK-LC	5.606198
14	2	discovered	11.960483
14	3	the	2.650623
14	4	UNK-LC	4.375911
14	5	preferred	10.746994
14	6	to	3.753172
14	7	come	6.802001
14	8	out	2.953252
14	9	in	3.370632
14	10	the	1.042258
14	11	middle	4.898284
14	12	of	0.321978
14	13	the	0.645526
14	14	day	3.608507
14	15	.	0.652821
15	1	So	0.000000
15	1	he	3.926341
15	2	went	6.121439
15	3	to	1.733061
15	4	the	1.601606
15	5	wood	11.883060
15	6	by	4.888939
15	7	the	1.562747
15	8	well	10.198637
15	9	with	6.495574
15	10	his	3.727783
15	11	good	7.104126
15	12	bow	11.238652
15	13	,	2.115324
15	14	to	3.876500
15	15	UNK-LC	4.810098
15	16	his	3.694861
15	17	time	6.357427
15	18	.	1.245195
16	1	Around	0.000000
16	1	UNK-LC	6.991527
16	2	,	1.756103
16	3	the	2.967628
16	4	UNK-LC	4.945945
16	5	,	2.707414
16	6	feared	10.865824
16	7	by	4.825537
16	8	the	1.290128
16	9	locals	10.457785
16	10	,	2.025722
16	11	came	9.318349
16	12	out	3.854636
16	13	,	3.199171
16	14	as	4.148355
16	15	slow	10.743337
16	16	as	1.438667
16	17	a	2.001245
16	18	snail	12.629485
16	19	,	2.135992
16	20	from	6.746943
16	21	among	10.461253
16	22	the	1.048392
16	23	trees	8.620000
16	24	,	2.585315
16	25	just	5.464767
16	26	as	1.943661
16	27	the	2.034759
16	28	UNK-LC	4.259103
16	29	had	4.540826
