sentence_id	token_id	token	surprisal
1	1	If	0.000000
1	1	you	3.511653
1	2	were	3.097901
1	3	to	4.224782
1	4	journey	13.287521
1	5	to	0.813608
1	6	the	1.248997
1	7	North	8.211699
1	8	of	10.045052
1	9	England	8.153270
1	10	,	2.102815
1	11	you	5.174039
1	12	would	3.337794
1	13	come	6.195500
1	14	to	1.931555
1	15	a	2.693602
1	16	valley	10.731116
1	17	that	1.995531
1	18	is	2.341741
1	19	surrounded	10.006259
1	20	by	0.117134
1	21	UNK-LC-s	4.508766
1	22	as	5.689011
1	23	high	5.250211
1	24	as	0.083462
1	25	mountains	13.183533
1	26	.	0.714582
2	1	It	0.000000
2	1	is	2.023811
2	2	in	3.784338
2	3	this	4.638160
2	4	valley	8.289344
2	5	where	4.688017
2	6	you	3.880351
2	7	would	4.936705
2	8	find	5.404975
2	9	the	2.134583
2	10	city	6.140144
2	11	of	3.204291
2	12	UNK-INITC	4.694437
2	13	,	1.668015
2	14	where	4.699337
2	15	once	7.114370
2	16	a	2.494616
2	17	thousand	7.703145
2	18	spinning	14.773834
2	19	UNK-LC-s	5.821910
2	20	that	6.528596
2	21	UNK-LC-ed	5.128822
2	22	and	4.271978
2	23	UNK-LC-ed	2.905535
2	24	spun	13.474216
2	25	UNK-LC	8.405805
2	26	into	2.810786
2	27	money	8.758804
2	28	for	3.242459
2	29	the	1.363127
2	30	UNK-LC-DASH	3.457481
2	31	mill	7.762378
2	32	owners	13.141341
2	33	.	0.530463
3	1	That	0.000000
3	1	all	7.797633
3	2	mill	12.284135
3	3	owners	9.871686
3	4	were	3.228519
3	5	generally	7.542823
3	6	busy	7.189705
3	7	as	4.677581
3	8	UNK-LC-s	5.073888
3	9	and	2.732812
3	10	quite	10.992244
3	11	pleased	9.836249
3	12	with	2.227284
3	13	themselves	7.610626
3	14	for	4.438073
3	15	being	6.864520
3	16	so	5.555425
3	17	successful	5.122426
3	18	and	4.041114
3	19	well	8.594988
3	20	off	8.391212
3	21	was	8.309435
3	22	known	7.977247
3	23	to	3.207810
3	24	the	3.633458
3	25	residents	9.967039
3	26	of	3.450535
3	27	UNK-INITC	4.832539
3	28	,	2.016809
3	29	and	3.416817
3	30	if	6.994636
3	31	you	2.647711
3	32	were	3.122669
3	33	to	4.278141
3	34	go	5.162296
3	35	into	3.002966
3	36	the	1.562490
3	37	city	5.361824
3	38	to	3.111594
3	39	visit	5.637862
3	40	the	1.966296
3	41	UNK-LC-ly	8.322485
3	42	City	8.516120
3	43	Hall	8.607058
3	44	,	2.525703
3	45	you	7.752771
3	46	would	4.458194
3	47	see	4.389791
3	48	there	6.433959
3	49	the	4.896208
3	50	UNK-INITC-est	14.820134
3	51	of	6.330740
3	52	the	1.193462
3	53	City	7.789725
3	54	of	5.626918
3	55	UNK-INITC	4.473721
3	56	,	1.815891
3	57	which	1.991406
3	58	those	10.108909
3	59	same	8.514540
3	60	mill	12.956374
3	61	owners	9.696958
3	62	created	8.526422
3	63	to	3.068159
3	64	celebrate	8.433227
3	65	their	1.683192
3	66	achievements	9.084851
3	67	.	0.513488
4	1	It	0.000000
4	1	shows	6.848633
4	2	a	2.924649
4	3	UNK-LC-er	6.131444
4	4	looking	10.537158
4	5	UNK-LC	6.935370
4	6	's	7.841149
4	7	head	9.266074
4	8	sitting	11.788104
4	9	on	0.549199
4	10	top	8.033675
4	11	of	4.309778
4	12	a	3.943970
4	13	well	11.187038
4	14	which	9.851717
4	15	seems	5.103766
4	16	puzzling	13.699441
4	17	at	4.542880
4	18	first	6.843112
4	19	,	2.118426
4	20	but	2.435574
4	21	the	2.216800
4	22	reason	5.199496
4	23	for	1.526965
4	24	this	4.854321
4	25	symbol	12.008534
4	26	is	0.998513
4	27	a	2.284780
4	28	matter	5.350045
4	29	of	0.325534
4	30	legend	10.822629
4	31	.	0.283891
5	1	There	0.000000
5	1	was	2.418319
5	2	once	9.103692
5	3	,	5.726977
5	4	legend	13.329852
5	5	has	5.736164
5	6	it	8.245914
5	7	,	3.725253
5	8	a	3.662214
5	9	UNK-LC	4.030683
5	10	UNK-LC	3.411623
5	11	,	1.237635
5	12	which	4.983966
5	13	lived	8.151176
5	14	in	0.935282
5	15	a	3.227033
5	16	wood	7.052963
5	17	located	15.419378
5	18	just	7.179775
5	19	outside	8.962336
5	20	the	0.930013
5	21	UNK-LC	5.241192
5	22	of	2.177669
5	23	UNK-INITC	3.954587
5	24	.	1.398776
6	1	A	0.000000
6	1	source	7.093352
6	2	of	0.444812
6	3	great	9.863449
6	4	trouble	7.234942
6	5	to	3.536379
6	6	the	1.762047
6	7	local	7.309511
6	8	folk	10.375521
6	9	the	10.488480
6	10	UNK-LC	3.696335
6	11	was	7.607260
6	12	,	4.754588
6	13	bringing	8.427218
6	14	terror	12.747021
6	15	to	2.504449
6	16	the	1.099920
6	17	peaceful	11.667670
6	18	UNK-LC-s	7.411553
6	19	and	2.062774
6	20	UNK-LC-ing	4.605325
6	21	the	2.144075
6	22	countryside	8.923592
6	23	around	4.843623
6	24	.	3.085216
7	1	Even	0.000000
7	1	worse	6.951832
7	2	,	1.611239
7	3	however	5.104403
7	4	,	0.338540
7	5	the	3.765081
7	6	UNK-LC	4.594187
7	7	most	9.765774
7	8	liked	11.883018
7	9	to	2.860122
7	10	go	4.292660
7	11	to	1.988089
7	12	the	1.306920
7	13	well	10.165639
7	14	that	5.116580
7	15	was	4.141745
7	16	in	3.753180
7	17	the	1.264020
7	18	wood	11.271429
7	19	and	4.419625
7	20	drink	11.375725
7	21	its	10.673612
7	22	fresh	12.285070
7	23	water	5.760737
7	24	,	2.202882
7	25	so	5.488876
7	26	that	3.148688
7	27	the	1.660654
7	28	people	5.626236
7	29	of	4.895379
7	30	UNK-INITC	6.164684
7	31	had	3.912914
7	32	second	9.661130
7	33	thoughts	4.750041
7	34	about	0.549727
7	35	visiting	11.502624
7	36	the	2.617019
7	37	well	10.207532
7	38	.	1.110212
8	1	That	0.000000
8	1	the	4.454318
8	2	people	7.131006
8	3	of	4.423017
8	4	UNK-INITC	5.797854
8	5	UNK-LC	5.382189
8	6	the	4.515868
8	7	brunt	8.817896
8	8	of	0.019050
8	9	the	0.327955
8	10	UNK-LC	4.985443
8	11	's	3.300879
8	12	UNK-LC-ity	7.089172
8	13	was	5.234891
8	14	unfair	7.634518
8	15	in	3.156206
8	16	the	0.912387
8	17	eyes	5.319155
8	18	of	0.052365
8	19	the	1.412979
8	20	people	6.202242
8	21	of	3.906302
8	22	the	0.877462
8	23	region	4.988767
8	24	.	0.425573
